"Table 26. Needing But Not Receiving Treatment at a Specialty Facility for Substance Use in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2018 and 2019 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: Respondents were classified as needing substance use treatment if they met the criteria for an illicit drug or alcohol use disorder as defined in the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV) or received treatment for illicit drug or alcohol use at a specialty facility (i.e., drug and alcohol rehabilitation facility [inpatient or outpatient], hospital [inpatient only], or mental health center). Needing But Not Receiving Substance Use Treatment refers to respondents who are classified as needing illicit drug or alcohol treatment, but who did not receive illicit drug or alcohol treatment at a specialty facility. Illicit Drug Use includes the misuse of prescription psychotherapeutics or the use of marijuana, cocaine (including crack), heroin, hallucinogens, inhalants, or methamphetamine. Misuse of prescription psychotherapeutics is defined as use in any way not directed by a doctor, including use without a prescription of one's own; use in greater amounts, more often, or longer than told; or use in any other way not directed by a doctor. Prescription psychotherapeutics do not include over-the-counter drugs.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2018 and 2019.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
13,Delaware,7.45%,6.28%,8.83%,4.19%,3.29%,5.31%,16.11%,13.39%,19.25%,6.58%,5.30%,8.15%,7.75%,6.49%,9.24%
14,District of Columbia,10.56%,9.04%,12.30%,5.32%,4.12%,6.86%,16.44%,13.48%,19.89%,9.85%,8.19%,11.81%,10.85%,9.26%,12.69%
15,Florida,5.51%,4.86%,6.22%,3.80%,3.14%,4.59%,11.44%,10.08%,12.96%,4.89%,4.16%,5.73%,5.65%,4.96%,6.43%
16,Georgia,5.95%,5.13%,6.90%,3.28%,2.58%,4.15%,11.61%,9.71%,13.84%,5.37%,4.45%,6.46%,6.25%,5.34%,7.29%
17,Hawaii,7.37%,6.22%,8.71%,4.00%,3.01%,5.29%,15.30%,12.63%,18.42%,6.68%,5.40%,8.25%,7.67%,6.43%,9.13%
18,Idaho,6.71%,5.66%,7.94%,4.20%,3.30%,5.34%,13.55%,11.12%,16.42%,5.94%,4.79%,7.34%,7.01%,5.86%,8.36%
19,Illinois,6.97%,6.17%,7.86%,4.02%,3.27%,4.93%,13.69%,11.85%,15.75%,6.27%,5.37%,7.30%,7.27%,6.40%,8.24%
20,Indiana,7.45%,6.30%,8.79%,3.99%,3.15%,5.04%,14.59%,12.04%,17.57%,6.66%,5.40%,8.20%,7.82%,6.56%,9.29%
21,Iowa,6.95%,5.87%,8.21%,4.72%,3.70%,6.01%,14.83%,12.22%,17.87%,5.85%,4.70%,7.27%,7.18%,6.01%,8.55%
22,Kansas,6.40%,5.38%,7.61%,3.87%,3.03%,4.92%,13.22%,10.79%,16.10%,5.54%,4.44%,6.89%,6.68%,5.57%,8.00%
23,Kentucky,6.70%,5.68%,7.88%,3.98%,3.11%,5.07%,12.50%,10.20%,15.22%,6.10%,4.98%,7.45%,6.97%,5.87%,8.26%
24,Louisiana,6.86%,5.73%,8.18%,3.14%,2.41%,4.08%,11.79%,9.57%,14.43%,6.53%,5.27%,8.07%,7.24%,6.02%,8.70%
25,Maine,7.93%,6.66%,9.41%,4.56%,3.57%,5.83%,17.27%,14.54%,20.39%,7.05%,5.68%,8.72%,8.20%,6.85%,9.79%
26,Maryland,6.13%,5.13%,7.31%,3.58%,2.80%,4.58%,13.39%,10.95%,16.27%,5.34%,4.28%,6.66%,6.38%,5.30%,7.66%
27,Massachusetts,7.57%,6.45%,8.87%,3.90%,3.07%,4.95%,16.39%,13.58%,19.65%,6.46%,5.27%,7.91%,7.89%,6.69%,9.29%
28,Michigan,6.81%,6.07%,7.63%,3.74%,3.10%,4.51%,14.23%,12.48%,16.17%,5.96%,5.12%,6.93%,7.11%,6.31%,8.01%
29,Minnesota,7.01%,5.95%,8.24%,4.26%,3.35%,5.41%,14.97%,12.30%,18.11%,6.11%,4.97%,7.50%,7.29%,6.14%,8.64%
30,Mississippi,6.19%,5.15%,7.41%,3.18%,2.48%,4.08%,10.99%,8.92%,13.49%,5.77%,4.60%,7.21%,6.52%,5.39%,7.86%
31,Missouri,6.81%,5.76%,8.03%,3.77%,2.97%,4.79%,13.53%,11.14%,16.34%,6.11%,4.97%,7.50%,7.11%,5.97%,8.45%
32,Montana,9.21%,7.90%,10.71%,5.11%,4.01%,6.48%,16.64%,13.91%,19.78%,8.51%,7.05%,10.24%,9.59%,8.18%,11.21%
33,Nebraska,6.74%,5.68%,7.98%,3.76%,2.94%,4.81%,14.53%,12.08%,17.38%,5.77%,4.62%,7.20%,7.07%,5.92%,8.42%
34,Nevada,8.31%,7.05%,9.76%,5.17%,4.01%,6.63%,15.68%,12.86%,18.98%,7.64%,6.26%,9.30%,8.62%,7.27%,10.19%
35,New Hampshire,7.89%,6.68%,9.31%,4.27%,3.32%,5.48%,18.81%,15.63%,22.48%,6.64%,5.35%,8.20%,8.21%,6.91%,9.73%
36,New Jersey,6.03%,5.16%,7.03%,3.33%,2.62%,4.22%,13.79%,11.59%,16.34%,5.21%,4.29%,6.33%,6.29%,5.36%,7.38%
37,New Mexico,6.99%,5.87%,8.30%,5.06%,3.92%,6.50%,15.52%,12.73%,18.80%,5.87%,4.67%,7.35%,7.19%,5.99%,8.61%
38,New York,6.67%,5.97%,7.46%,3.72%,3.11%,4.44%,13.85%,12.23%,15.65%,5.87%,5.07%,6.79%,6.94%,6.17%,7.79%
39,North Carolina,6.58%,5.68%,7.61%,3.77%,3.03%,4.68%,13.22%,11.25%,15.48%,5.87%,4.87%,7.07%,6.86%,5.89%,7.98%
40,North Dakota,7.97%,6.82%,9.29%,4.64%,3.61%,5.95%,16.11%,13.35%,19.31%,6.78%,5.55%,8.26%,8.29%,7.06%,9.72%
41,Ohio,6.73%,5.98%,7.57%,4.10%,3.37%,4.97%,13.77%,12.08%,15.66%,5.94%,5.09%,6.92%,6.99%,6.18%,7.91%
42,Oklahoma,7.08%,5.97%,8.37%,4.10%,3.19%,5.25%,13.67%,11.19%,16.59%,6.36%,5.15%,7.83%,7.40%,6.20%,8.82%
43,Oregon,8.64%,7.40%,10.06%,5.40%,4.25%,6.83%,16.50%,13.76%,19.65%,7.84%,6.49%,9.43%,8.93%,7.61%,10.45%
44,Pennsylvania,6.33%,5.61%,7.14%,3.41%,2.79%,4.17%,13.93%,12.15%,15.91%,5.51%,4.71%,6.43%,6.60%,5.82%,7.47%
45,Rhode Island,7.69%,6.52%,9.06%,4.29%,3.32%,5.54%,17.57%,14.59%,21.00%,6.34%,5.10%,7.86%,7.99%,6.73%,9.46%
46,South Carolina,6.07%,5.07%,7.24%,3.76%,2.95%,4.78%,12.54%,10.10%,15.47%,5.36%,4.31%,6.66%,6.29%,5.22%,7.56%
47,South Dakota,6.66%,5.61%,7.90%,4.42%,3.46%,5.62%,14.10%,11.57%,17.08%,5.71%,4.57%,7.12%,6.90%,5.75%,8.26%
48,Tennessee,6.25%,5.25%,7.42%,3.81%,2.98%,4.86%,12.15%,9.88%,14.87%,5.63%,4.54%,6.95%,6.49%,5.42%,7.76%
49,Texas,5.86%,5.27%,6.52%,3.22%,2.65%,3.91%,11.79%,10.34%,13.42%,5.20%,4.51%,5.98%,6.17%,5.52%,6.90%
50,Utah,5.74%,4.84%,6.80%,3.47%,2.66%,4.50%,11.08%,8.94%,13.65%,4.95%,3.94%,6.20%,6.06%,5.05%,7.25%
51,Vermont,8.59%,7.33%,10.05%,4.92%,3.87%,6.25%,17.59%,14.67%,20.95%,7.41%,6.04%,9.05%,8.89%,7.54%,10.45%
52,Virginia,6.64%,5.74%,7.67%,3.62%,2.87%,4.56%,14.21%,12.09%,16.63%,5.81%,4.81%,6.99%,6.94%,5.96%,8.06%
53,Washington,7.67%,6.46%,9.09%,4.47%,3.48%,5.73%,14.42%,11.95%,17.30%,7.03%,5.70%,8.64%,7.97%,6.67%,9.50%
54,West Virginia,5.53%,4.62%,6.61%,4.24%,3.23%,5.54%,13.04%,10.68%,15.83%,4.60%,3.64%,5.81%,5.65%,4.67%,6.81%
55,Wisconsin,7.13%,6.02%,8.44%,4.14%,3.26%,5.26%,15.05%,12.51%,18.00%,6.22%,4.99%,7.72%,7.43%,6.22%,8.85%
56,Wyoming,6.63%,5.56%,7.88%,4.65%,3.62%,5.95%,13.60%,11.21%,16.41%,5.80%,4.63%,7.24%,6.83%,5.68%,8.20%
