"Table 22. Alcohol Use Disorder in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2018 and 2019 NSDUHs  ",,,,,,,,,,,,,,,,
NOTE: Alcohol Use Disorder is defined as meeting criteria for alcohol dependence or abuse. Dependence or abuse is based on definitions found in the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV).,,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2018 and 2019.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
11,Colorado,8.16%,6.87%,9.67%,2.01%,1.36%,2.95%,13.88%,11.43%,16.76%,7.97%,6.53%,9.71%,8.77%,7.37%,10.41%
12,Connecticut,6.18%,5.07%,7.53%,1.83%,1.29%,2.58%,12.05%,9.81%,14.71%,5.74%,4.52%,7.26%,6.60%,5.39%,8.07%
13,Delaware,6.16%,5.06%,7.47%,1.53%,1.08%,2.16%,10.87%,8.82%,13.34%,5.98%,4.77%,7.47%,6.58%,5.40%,8.01%
14,District of Columbia,9.00%,7.46%,10.83%,1.24%,0.83%,1.86%,11.86%,9.50%,14.70%,9.00%,7.28%,11.08%,9.44%,7.81%,11.36%
15,Florida,3.94%,3.40%,4.56%,1.26%,0.91%,1.74%,7.12%,6.07%,8.34%,3.78%,3.18%,4.49%,4.17%,3.59%,4.84%
16,Georgia,4.55%,3.83%,5.39%,1.36%,0.97%,1.91%,7.85%,6.37%,9.62%,4.42%,3.62%,5.38%,4.90%,4.12%,5.82%
17,Hawaii,5.93%,4.88%,7.20%,1.77%,1.17%,2.68%,12.45%,10.07%,15.31%,5.51%,4.37%,6.94%,6.31%,5.17%,7.67%
18,Idaho,5.41%,4.45%,6.58%,1.70%,1.20%,2.40%,10.18%,8.16%,12.64%,5.15%,4.08%,6.48%,5.86%,4.79%,7.14%
19,Illinois,5.53%,4.81%,6.35%,1.53%,1.14%,2.04%,9.89%,8.39%,11.62%,5.31%,4.50%,6.27%,5.93%,5.15%,6.83%
20,Indiana,5.59%,4.61%,6.77%,1.76%,1.25%,2.47%,10.25%,8.28%,12.62%,5.28%,4.19%,6.62%,6.00%,4.93%,7.29%
21,Iowa,5.76%,4.76%,6.96%,2.19%,1.56%,3.07%,11.75%,9.54%,14.40%,5.15%,4.07%,6.51%,6.13%,5.05%,7.43%
22,Kansas,5.18%,4.25%,6.30%,1.90%,1.37%,2.64%,10.39%,8.37%,12.84%,4.69%,3.69%,5.96%,5.54%,4.53%,6.77%
23,Kentucky,5.10%,4.22%,6.17%,1.69%,1.18%,2.43%,9.13%,7.33%,11.31%,4.87%,3.89%,6.06%,5.45%,4.49%,6.60%
24,Louisiana,5.60%,4.57%,6.85%,1.40%,0.99%,1.99%,8.67%,6.89%,10.84%,5.63%,4.46%,7.08%,6.04%,4.92%,7.41%
25,Maine,5.66%,4.62%,6.93%,2.14%,1.53%,2.99%,10.88%,8.85%,13.32%,5.33%,4.20%,6.75%,5.95%,4.84%,7.31%
26,Maryland,4.87%,3.95%,5.99%,1.38%,0.98%,1.96%,8.62%,6.82%,10.85%,4.71%,3.71%,5.96%,5.21%,4.21%,6.42%
27,Massachusetts,6.10%,5.05%,7.36%,1.75%,1.23%,2.48%,11.81%,9.59%,14.46%,5.58%,4.45%,6.99%,6.48%,5.35%,7.84%
28,Michigan,5.72%,5.00%,6.54%,1.64%,1.24%,2.17%,10.39%,8.97%,11.99%,5.43%,4.61%,6.39%,6.12%,5.34%,7.01%
29,Minnesota,5.65%,4.63%,6.87%,1.69%,1.18%,2.40%,11.50%,9.31%,14.12%,5.22%,4.12%,6.59%,6.06%,4.95%,7.39%
30,Mississippi,4.77%,3.87%,5.87%,1.37%,0.95%,1.96%,7.83%,6.23%,9.80%,4.70%,3.68%,5.98%,5.15%,4.16%,6.35%
31,Missouri,5.21%,4.27%,6.35%,1.80%,1.30%,2.49%,9.46%,7.58%,11.75%,4.95%,3.92%,6.22%,5.56%,4.54%,6.79%
32,Montana,7.46%,6.24%,8.91%,2.51%,1.75%,3.57%,13.65%,11.28%,16.43%,7.04%,5.68%,8.70%,7.92%,6.61%,9.48%
33,Nebraska,5.69%,4.69%,6.90%,1.85%,1.31%,2.59%,11.23%,9.18%,13.66%,5.23%,4.13%,6.60%,6.12%,5.02%,7.44%
34,Nevada,6.04%,4.89%,7.44%,1.84%,1.29%,2.62%,10.31%,8.23%,12.84%,5.93%,4.66%,7.51%,6.46%,5.22%,7.98%
35,New Hampshire,6.47%,5.30%,7.89%,2.10%,1.48%,2.97%,14.39%,11.55%,17.79%,5.74%,4.49%,7.30%,6.85%,5.59%,8.38%
36,New Jersey,4.33%,3.61%,5.19%,1.49%,1.07%,2.07%,8.42%,6.82%,10.35%,4.07%,3.28%,5.03%,4.61%,3.83%,5.55%
37,New Mexico,5.35%,4.33%,6.58%,1.68%,1.19%,2.38%,10.51%,8.42%,13.04%,4.98%,3.88%,6.37%,5.73%,4.63%,7.08%
38,New York,5.16%,4.54%,5.86%,1.61%,1.24%,2.08%,9.28%,8.04%,10.67%,4.89%,4.19%,5.71%,5.48%,4.81%,6.23%
39,North Carolina,5.10%,4.29%,6.05%,1.47%,1.06%,2.02%,8.69%,7.20%,10.46%,4.96%,4.05%,6.06%,5.46%,4.58%,6.50%
40,North Dakota,6.44%,5.35%,7.74%,2.36%,1.65%,3.38%,12.71%,10.36%,15.51%,5.69%,4.54%,7.12%,6.83%,5.66%,8.23%
41,Ohio,5.14%,4.47%,5.90%,1.61%,1.20%,2.16%,9.47%,8.11%,11.04%,4.87%,4.12%,5.74%,5.49%,4.76%,6.31%
42,Oklahoma,5.47%,4.50%,6.63%,1.64%,1.16%,2.32%,10.03%,8.11%,12.35%,5.19%,4.12%,6.51%,5.88%,4.83%,7.15%
43,Oregon,6.95%,5.80%,8.30%,2.35%,1.67%,3.30%,12.28%,10.04%,14.93%,6.65%,5.40%,8.17%,7.36%,6.13%,8.82%
44,Pennsylvania,5.08%,4.41%,5.84%,1.69%,1.28%,2.23%,10.10%,8.61%,11.83%,4.68%,3.95%,5.54%,5.39%,4.67%,6.21%
45,Rhode Island,6.51%,5.37%,7.88%,1.78%,1.27%,2.51%,12.33%,9.96%,15.17%,5.99%,4.75%,7.54%,6.92%,5.69%,8.39%
46,South Carolina,5.14%,4.16%,6.34%,1.43%,1.02%,2.01%,9.21%,7.35%,11.47%,4.95%,3.87%,6.31%,5.50%,4.44%,6.80%
47,South Dakota,5.93%,4.92%,7.15%,1.97%,1.40%,2.76%,11.86%,9.68%,14.46%,5.45%,4.34%,6.82%,6.36%,5.25%,7.68%
48,Tennessee,4.85%,3.95%,5.93%,1.63%,1.16%,2.28%,9.15%,7.31%,11.40%,4.56%,3.58%,5.79%,5.17%,4.19%,6.35%
49,Texas,4.57%,4.03%,5.19%,1.43%,1.07%,1.91%,8.31%,7.14%,9.64%,4.36%,3.73%,5.10%,4.95%,4.34%,5.63%
50,Utah,4.16%,3.34%,5.17%,1.57%,1.05%,2.34%,7.67%,5.90%,9.92%,3.83%,2.93%,4.98%,4.52%,3.61%,5.66%
51,Vermont,6.84%,5.61%,8.31%,2.56%,1.80%,3.64%,12.28%,9.93%,15.09%,6.31%,4.97%,7.99%,7.18%,5.88%,8.76%
52,Virginia,5.06%,4.27%,5.99%,1.52%,1.10%,2.10%,9.40%,7.78%,11.32%,4.78%,3.91%,5.84%,5.41%,4.54%,6.42%
53,Washington,5.79%,4.73%,7.08%,2.01%,1.43%,2.81%,10.18%,8.17%,12.60%,5.56%,4.40%,7.01%,6.15%,5.00%,7.54%
54,West Virginia,4.14%,3.33%,5.14%,1.74%,1.18%,2.56%,8.76%,6.97%,10.95%,3.73%,2.86%,4.85%,4.35%,3.48%,5.43%
55,Wisconsin,6.10%,5.08%,7.31%,1.87%,1.34%,2.60%,12.08%,9.91%,14.64%,5.63%,4.52%,6.99%,6.51%,5.41%,7.83%
56,Wyoming,6.39%,5.30%,7.69%,2.37%,1.66%,3.36%,12.48%,10.19%,15.20%,5.94%,4.75%,7.42%,6.81%,5.62%,8.22%
