"Table 17. Tobacco Product Use in the Past Month, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2018 and 2019 NSDUHs",,,,,,,,,,,,,,,,
"NOTE: Tobacco Products include cigarettes, smokeless tobacco (i.e., snuff, dip, chewing tobacco, or snus), cigars, or pipe tobacco.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given. ",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
NOTE: Estimated numbers appearing as 0 in this table mean that the estimate is greater than 0 but less than 500 (because estimated numbers are shown in thousands).,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2018 and 2019.",,,,,,,,,,,,,,,,
Order,State,"12 or Older  Estimate","12 or Older  95% CI (Lower)","12 or Older  95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older  Estimate","26 or Older  95% CI (Lower)","26 or Older  95% CI (Upper)","18 or Older  Estimate","18 or Older  95% CI (Lower)","18 or Older  95% CI (Upper)"
32,Montana,254,233,277,6,4,7,44,39,49,205,185,227,249,227,272
33,Nebraska,364,328,403,6,5,9,61,53,69,297,263,333,358,322,396
34,Nevada,536,479,598,8,6,11,65,56,75,463,410,522,528,472,590
35,New Hampshire,235,209,264,4,3,5,42,36,48,190,166,217,232,206,260
36,New Jersey,"1,207","1,086","1,338",20,15,27,184,159,211,"1,003",888,"1,128","1,187","1,067","1,317"
37,New Mexico,416,375,460,8,6,12,68,59,78,340,301,382,408,367,451
38,New York,"2,973","2,775","3,181",43,34,53,461,420,504,"2,469","2,281","2,669","2,930","2,733","3,137"
39,North Carolina,"2,159","2,000","2,326",38,30,50,300,268,334,"1,821","1,671","1,979","2,121","1,963","2,286"
40,North Dakota,158,144,172,3,2,4,28,25,32,127,114,140,155,142,169
41,Ohio,"2,652","2,498","2,813",49,40,60,397,366,429,"2,207","2,061","2,358","2,604","2,450","2,762"
42,Oklahoma,959,882,"1,040",17,13,23,148,132,165,794,722,870,942,865,"1,022"
43,Oregon,744,669,825,13,10,18,110,94,127,621,551,696,730,656,811
44,Pennsylvania,"2,608","2,440","2,785",40,32,49,385,352,420,"2,184","2,026","2,350","2,568","2,401","2,743"
45,Rhode Island,185,166,206,2,2,3,31,27,36,152,134,171,183,164,204
46,South Carolina,"1,144","1,044","1,249",22,17,28,155,135,176,968,874,"1,067","1,122","1,024","1,226"
47,South Dakota,173,157,189,4,3,5,27,24,31,141,127,157,169,153,185
48,Tennessee,"1,531","1,400","1,671",29,22,38,228,202,256,"1,274","1,151","1,405","1,502","1,372","1,640"
49,Texas,"4,860","4,581","5,150",89,71,112,756,694,821,"4,015","3,751","4,292","4,771","4,494","5,058"
50,Utah,361,317,409,8,6,13,70,58,84,282,243,326,352,309,400
51,Vermont,123,111,136,3,2,4,23,21,26,97,86,109,120,108,133
52,Virginia,"1,528","1,411","1,652",28,22,37,266,238,294,"1,234","1,126","1,351","1,500","1,384","1,623"
53,Washington,"1,333","1,197","1,481",20,15,28,163,138,190,"1,150","1,021","1,290","1,313","1,177","1,459"
54,West Virginia,518,477,561,10,8,13,70,63,77,438,399,479,508,467,550
55,Wisconsin,"1,090",983,"1,206",17,13,22,157,137,179,917,817,"1,025","1,073",967,"1,187"
56,Wyoming,132,120,144,3,2,4,22,20,24,107,96,118,129,117,141
