Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
27,Massachusetts,14.47%,12.76%,16.37%,2.22%,1.55%,3.16%,16.70%,13.86%,19.98%,15.35%,13.33%,17.60%,15.54%,13.70%,17.58%
28,Michigan,19.04%,17.70%,20.46%,2.68%,2.05%,3.49%,19.69%,17.61%,21.95%,20.79%,19.15%,22.52%,20.63%,19.18%,22.17%
29,Minnesota,16.29%,14.57%,18.16%,2.99%,2.13%,4.18%,19.55%,16.28%,23.28%,17.36%,15.34%,19.58%,17.65%,15.78%,19.69%
30,Mississippi,24.16%,21.96%,26.50%,4.19%,3.07%,5.70%,22.46%,19.42%,25.82%,26.99%,24.28%,29.88%,26.34%,23.93%,28.90%
31,Missouri,19.72%,17.73%,21.88%,3.41%,2.45%,4.74%,21.94%,18.68%,25.60%,21.26%,18.90%,23.84%,21.36%,19.19%,23.69%
32,Montana,20.83%,18.79%,23.04%,5.58%,4.17%,7.42%,28.79%,25.16%,32.73%,21.24%,18.82%,23.88%,22.25%,20.05%,24.62%
33,Nebraska,17.99%,16.02%,20.15%,2.82%,2.01%,3.94%,20.47%,17.39%,23.94%,19.53%,17.14%,22.16%,19.67%,17.50%,22.03%
34,Nevada,16.96%,15.04%,19.06%,2.03%,1.37%,2.99%,16.41%,13.59%,19.69%,18.72%,16.43%,21.24%,18.44%,16.35%,20.73%
35,New Hampshire,14.64%,12.84%,16.64%,2.84%,1.94%,4.14%,20.78%,17.28%,24.78%,14.90%,12.84%,17.22%,15.66%,13.73%,17.81%
36,New Jersey,13.17%,11.72%,14.77%,1.56%,1.09%,2.23%,14.90%,12.50%,17.67%,14.23%,12.52%,16.14%,14.32%,12.74%,16.06%
37,New Mexico,19.30%,17.19%,21.59%,2.89%,1.88%,4.42%,23.87%,20.15%,28.03%,20.56%,18.08%,23.30%,21.01%,18.72%,23.51%
38,New York,14.51%,13.43%,15.65%,1.75%,1.35%,2.28%,16.07%,14.28%,18.03%,15.57%,14.28%,16.95%,15.63%,14.47%,16.87%
39,North Carolina,19.83%,18.16%,21.62%,2.93%,2.17%,3.96%,19.26%,16.73%,22.06%,21.87%,19.85%,24.05%,21.52%,19.70%,23.46%
40,North Dakota,19.46%,17.54%,21.54%,4.01%,2.93%,5.48%,21.64%,18.35%,25.34%,20.83%,18.51%,23.36%,20.95%,18.88%,23.19%
41,Ohio,21.16%,19.80%,22.59%,3.76%,2.96%,4.76%,23.56%,21.31%,25.97%,22.79%,21.13%,24.54%,22.89%,21.41%,24.45%
42,Oklahoma,23.68%,21.46%,26.06%,4.27%,3.13%,5.82%,27.10%,23.38%,31.18%,25.59%,22.91%,28.47%,25.80%,23.37%,28.39%
43,Oregon,15.93%,14.15%,17.89%,3.00%,2.12%,4.23%,20.69%,17.38%,24.45%,16.56%,14.49%,18.86%,17.09%,15.17%,19.19%
44,Pennsylvania,19.05%,17.71%,20.47%,2.93%,2.29%,3.76%,21.98%,19.62%,24.54%,20.30%,18.69%,22.01%,20.52%,19.07%,22.05%
45,Rhode Island,16.30%,14.41%,18.38%,1.99%,1.35%,2.92%,18.20%,15.17%,21.68%,17.43%,15.20%,19.91%,17.54%,15.50%,19.78%
46,South Carolina,21.26%,19.15%,23.53%,3.78%,2.70%,5.26%,22.03%,18.55%,25.97%,23.08%,20.61%,25.73%,22.94%,20.66%,25.40%
47,South Dakota,18.61%,16.65%,20.73%,4.07%,2.95%,5.59%,20.65%,17.42%,24.31%,20.08%,17.76%,22.61%,20.16%,18.03%,22.46%
48,Tennessee,20.72%,18.67%,22.93%,3.94%,2.85%,5.41%,24.06%,20.68%,27.79%,22.12%,19.68%,24.76%,22.37%,20.16%,24.76%
49,Texas,16.67%,15.60%,17.80%,2.19%,1.66%,2.88%,18.22%,16.40%,20.20%,18.42%,17.08%,19.84%,18.39%,17.20%,19.64%
50,Utah,11.45%,9.94%,13.16%,1.82%,1.17%,2.82%,13.28%,10.57%,16.56%,12.72%,10.85%,14.85%,12.81%,11.11%,14.72%
51,Vermont,17.55%,15.61%,19.67%,4.56%,3.32%,6.25%,24.68%,21.10%,28.64%,17.57%,15.33%,20.05%,18.60%,16.54%,20.86%
52,Virginia,16.51%,15.02%,18.12%,2.79%,2.03%,3.80%,21.32%,18.63%,24.29%,17.31%,15.52%,19.27%,17.85%,16.24%,19.59%
53,Washington,17.02%,15.09%,19.14%,2.43%,1.66%,3.55%,16.96%,13.92%,20.51%,18.60%,16.35%,21.08%,18.39%,16.31%,20.68%
54,West Virginia,25.86%,23.63%,28.22%,5.48%,4.06%,7.36%,30.72%,26.93%,34.79%,27.22%,24.60%,30.01%,27.66%,25.26%,30.19%
55,Wisconsin,17.89%,15.96%,19.99%,2.55%,1.79%,3.62%,19.26%,16.29%,22.61%,19.42%,17.11%,21.96%,19.40%,17.30%,21.68%
56,Wyoming,20.00%,17.91%,22.26%,5.02%,3.60%,6.95%,28.03%,24.48%,31.89%,20.56%,18.08%,23.28%,21.55%,19.28%,24.00%
