"Table 2. Marijuana Use in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2018 and 2019 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2018 and 2019.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
20,Indiana,16.61%,14.84%,18.54%,12.42%,10.33%,14.85%,35.14%,31.22%,39.27%,13.97%,12.01%,16.19%,17.06%,15.18%,19.12%
21,Iowa,12.43%,10.85%,14.20%,11.61%,9.51%,14.09%,28.10%,24.32%,32.23%,9.80%,8.11%,11.80%,12.51%,10.84%,14.40%
22,Kansas,14.64%,12.83%,16.66%,11.61%,9.55%,14.04%,29.96%,26.21%,34.01%,12.35%,10.33%,14.71%,14.98%,13.04%,17.15%
23,Kentucky,14.87%,13.15%,16.77%,11.33%,9.29%,13.76%,29.67%,26.05%,33.56%,12.94%,11.03%,15.12%,15.22%,13.39%,17.25%
24,Louisiana,12.15%,10.55%,13.96%,8.56%,6.85%,10.65%,27.57%,24.06%,31.37%,10.17%,8.43%,12.22%,12.53%,10.82%,14.45%
25,Maine,24.77%,22.44%,27.26%,17.53%,14.60%,20.89%,48.63%,44.27%,53.01%,22.42%,19.79%,25.29%,25.37%,22.90%,28.01%
26,Maryland,16.07%,14.25%,18.09%,12.27%,10.17%,14.72%,40.05%,35.70%,44.56%,12.97%,10.99%,15.25%,16.45%,14.51%,18.59%
27,Massachusetts,22.16%,20.06%,24.41%,16.03%,13.37%,19.09%,46.57%,42.19%,51.01%,18.67%,16.33%,21.26%,22.69%,20.48%,25.07%
28,Michigan,20.80%,19.43%,22.23%,13.38%,11.68%,15.28%,44.14%,41.34%,46.97%,17.86%,16.27%,19.57%,21.52%,20.06%,23.05%
29,Minnesota,16.60%,14.74%,18.65%,12.59%,10.30%,15.30%,38.75%,34.49%,43.18%,13.67%,11.62%,16.02%,17.02%,15.03%,19.20%
30,Mississippi,12.09%,10.54%,13.83%,9.90%,8.08%,12.06%,24.62%,21.46%,28.08%,10.28%,8.54%,12.33%,12.33%,10.68%,14.19%
31,Missouri,14.91%,13.18%,16.83%,11.35%,9.35%,13.71%,32.52%,28.80%,36.47%,12.58%,10.67%,14.76%,15.27%,13.42%,17.32%
32,Montana,20.06%,17.96%,22.34%,15.98%,13.55%,18.75%,40.46%,36.37%,44.68%,17.36%,15.01%,19.98%,20.44%,18.20%,22.88%
33,Nebraska,14.35%,12.63%,16.27%,13.87%,11.45%,16.71%,34.47%,30.73%,38.41%,10.92%,9.01%,13.16%,14.41%,12.58%,16.45%
34,Nevada,23.94%,21.46%,26.61%,16.76%,14.05%,19.89%,43.50%,39.33%,47.77%,22.04%,19.21%,25.16%,24.65%,21.99%,27.52%
35,New Hampshire,21.43%,19.19%,23.85%,16.17%,13.57%,19.17%,45.92%,41.21%,50.72%,18.31%,15.82%,21.10%,21.88%,19.51%,24.45%
36,New Jersey,13.73%,12.32%,15.27%,11.48%,9.66%,13.59%,35.36%,31.79%,39.10%,10.87%,9.34%,12.62%,13.95%,12.46%,15.60%
37,New Mexico,20.48%,18.26%,22.90%,18.66%,15.78%,21.94%,35.38%,31.24%,39.76%,18.34%,15.78%,21.21%,20.67%,18.29%,23.28%
38,New York,17.33%,16.19%,18.53%,13.09%,11.62%,14.71%,38.49%,36.06%,40.98%,14.50%,13.19%,15.92%,17.70%,16.50%,18.98%
39,North Carolina,15.08%,13.66%,16.63%,12.78%,10.77%,15.11%,30.87%,27.93%,33.98%,12.89%,11.28%,14.70%,15.31%,13.80%,16.96%
40,North Dakota,12.64%,11.12%,14.34%,9.44%,7.47%,11.85%,28.72%,24.92%,32.84%,9.90%,8.27%,11.82%,12.95%,11.35%,14.75%
41,Ohio,15.84%,14.63%,17.14%,11.88%,10.38%,13.58%,35.81%,33.23%,38.48%,13.20%,11.81%,14.72%,16.24%,14.93%,17.63%
42,Oklahoma,15.37%,13.54%,17.41%,11.17%,9.10%,13.64%,31.95%,28.12%,36.03%,13.14%,11.07%,15.53%,15.83%,13.87%,18.02%
43,Oregon,26.99%,24.59%,29.53%,18.56%,15.86%,21.60%,47.28%,42.89%,51.72%,24.93%,22.19%,27.88%,27.74%,25.18%,30.46%
44,Pennsylvania,16.10%,14.88%,17.41%,12.01%,10.45%,13.77%,33.69%,30.89%,36.61%,13.91%,12.50%,15.46%,16.48%,15.17%,17.87%
45,Rhode Island,23.31%,20.97%,25.83%,16.21%,13.56%,19.26%,45.03%,40.49%,49.65%,20.30%,17.63%,23.26%,23.92%,21.44%,26.59%
46,South Carolina,14.46%,12.61%,16.54%,11.27%,9.19%,13.73%,27.52%,23.69%,31.70%,12.88%,10.84%,15.24%,14.77%,12.81%,16.98%
47,South Dakota,11.13%,9.64%,12.82%,10.24%,8.28%,12.61%,26.69%,23.12%,30.58%,8.67%,7.10%,10.54%,11.22%,9.65%,13.02%
48,Tennessee,13.68%,11.96%,15.61%,10.65%,8.69%,13.00%,29.45%,25.76%,33.43%,11.62%,9.74%,13.81%,13.98%,12.16%,16.03%
49,Texas,12.19%,11.32%,13.13%,10.92%,9.57%,12.44%,26.22%,24.12%,28.43%,9.93%,8.92%,11.04%,12.35%,11.41%,13.35%
50,Utah,12.36%,10.86%,14.03%,10.23%,8.31%,12.53%,25.71%,22.23%,29.52%,9.77%,8.13%,11.70%,12.66%,11.04%,14.48%
51,Vermont,27.04%,24.55%,29.69%,21.13%,18.13%,24.49%,52.18%,47.56%,56.76%,23.31%,20.45%,26.44%,27.52%,24.88%,30.33%
52,Virginia,12.23%,10.93%,13.65%,9.65%,8.03%,11.55%,32.96%,29.66%,36.43%,9.29%,7.88%,10.92%,12.48%,11.11%,13.99%
53,Washington,25.58%,23.13%,28.19%,16.38%,13.65%,19.53%,45.50%,41.16%,49.90%,23.67%,20.88%,26.71%,26.45%,23.84%,29.23%
54,West Virginia,14.11%,12.39%,16.04%,12.20%,10.00%,14.80%,33.09%,29.30%,37.12%,11.63%,9.76%,13.80%,14.28%,12.46%,16.31%
55,Wisconsin,14.62%,12.88%,16.55%,12.01%,9.93%,14.45%,32.63%,28.94%,36.55%,12.06%,10.14%,14.27%,14.88%,13.04%,16.93%
56,Wyoming,12.77%,11.16%,14.58%,12.44%,10.15%,15.16%,30.85%,27.11%,34.86%,10.07%,8.32%,12.13%,12.81%,11.10%,14.73%
