"Table 20. Illicit Drug Use Disorder in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2018 and 2019 NSDUHs  ",,,,,,,,,,,,,,,,
NOTE: Illicit Drug Use Disorder is defined as meeting criteria for illicit drug dependence or abuse. Dependence or abuse is based on definitions found in the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV).,,,,,,,,,,,,,,,,
"NOTE: Illicit Drug Use includes the misuse of prescription psychotherapeutics or the use of marijuana, cocaine (including crack), heroin, hallucinogens, inhalants, or methamphetamine. Misuse of prescription psychotherapeutics is defined as use in any way not directed by a doctor, including use without a prescription of one's own; use in greater amounts, more often, or longer than told; or use in any other way not directed by a doctor. Prescription psychotherapeutics do not include over-the-counter drugs.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2018 and 2019.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
12,Connecticut,2.72%,2.11%,3.51%,2.64%,1.93%,3.61%,8.00%,6.30%,10.11%,1.90%,1.30%,2.76%,2.73%,2.09%,3.57%
13,Delaware,3.35%,2.64%,4.26%,3.60%,2.70%,4.78%,8.50%,6.64%,10.81%,2.61%,1.89%,3.59%,3.33%,2.58%,4.29%
14,District of Columbia,4.99%,3.94%,6.31%,4.64%,3.48%,6.16%,8.92%,6.94%,11.39%,4.31%,3.19%,5.79%,5.01%,3.92%,6.39%
15,Florida,2.51%,2.14%,2.94%,3.11%,2.53%,3.82%,6.80%,5.78%,7.99%,1.89%,1.51%,2.36%,2.46%,2.08%,2.91%
16,Georgia,2.50%,2.02%,3.08%,2.53%,1.93%,3.31%,6.50%,5.14%,8.17%,1.84%,1.36%,2.48%,2.49%,1.99%,3.12%
17,Hawaii,3.11%,2.39%,4.04%,2.86%,2.06%,3.95%,7.56%,5.90%,9.63%,2.57%,1.81%,3.63%,3.14%,2.38%,4.13%
18,Idaho,2.67%,2.09%,3.41%,3.30%,2.48%,4.38%,6.47%,4.99%,8.35%,1.96%,1.38%,2.79%,2.60%,1.99%,3.39%
19,Illinois,3.05%,2.57%,3.63%,3.47%,2.75%,4.37%,7.85%,6.57%,9.36%,2.25%,1.75%,2.90%,3.01%,2.50%,3.62%
20,Indiana,3.49%,2.77%,4.38%,3.52%,2.64%,4.68%,8.14%,6.41%,10.30%,2.69%,1.96%,3.68%,3.49%,2.73%,4.44%
21,Iowa,2.88%,2.27%,3.64%,3.37%,2.50%,4.53%,6.65%,5.13%,8.60%,2.16%,1.55%,3.00%,2.83%,2.19%,3.63%
22,Kansas,2.56%,1.97%,3.31%,2.80%,2.07%,3.79%,6.75%,5.20%,8.72%,1.79%,1.23%,2.61%,2.53%,1.92%,3.33%
23,Kentucky,3.15%,2.48%,3.99%,3.31%,2.44%,4.47%,6.70%,5.15%,8.68%,2.57%,1.88%,3.52%,3.14%,2.44%,4.03%
24,Louisiana,2.84%,2.21%,3.66%,2.45%,1.79%,3.36%,6.45%,4.98%,8.31%,2.33%,1.66%,3.24%,2.88%,2.21%,3.76%
25,Maine,3.62%,2.84%,4.59%,3.80%,2.85%,5.06%,9.75%,7.81%,12.10%,2.83%,2.04%,3.91%,3.60%,2.79%,4.63%
26,Maryland,2.72%,2.15%,3.45%,3.02%,2.24%,4.07%,8.01%,6.27%,10.18%,1.91%,1.35%,2.70%,2.69%,2.09%,3.46%
27,Massachusetts,3.37%,2.66%,4.27%,3.30%,2.44%,4.44%,8.72%,6.81%,11.09%,2.48%,1.79%,3.42%,3.38%,2.63%,4.33%
28,Michigan,2.76%,2.32%,3.28%,3.02%,2.39%,3.83%,7.89%,6.60%,9.40%,1.90%,1.45%,2.49%,2.73%,2.27%,3.30%
29,Minnesota,2.78%,2.19%,3.52%,3.42%,2.57%,4.55%,7.25%,5.63%,9.29%,2.01%,1.45%,2.80%,2.71%,2.10%,3.50%
30,Mississippi,2.65%,2.04%,3.43%,2.56%,1.86%,3.50%,5.92%,4.54%,7.68%,2.11%,1.48%,2.99%,2.66%,2.01%,3.49%
31,Missouri,2.85%,2.25%,3.61%,3.23%,2.44%,4.26%,7.33%,5.72%,9.34%,2.11%,1.52%,2.92%,2.82%,2.19%,3.62%
32,Montana,3.46%,2.74%,4.35%,4.08%,3.10%,5.36%,7.87%,6.14%,10.03%,2.71%,1.98%,3.70%,3.40%,2.65%,4.35%
33,Nebraska,2.55%,2.00%,3.25%,2.74%,2.01%,3.72%,6.97%,5.45%,8.87%,1.76%,1.22%,2.52%,2.53%,1.95%,3.28%
34,Nevada,4.37%,3.47%,5.49%,4.69%,3.44%,6.36%,9.96%,7.82%,12.61%,3.56%,2.62%,4.82%,4.34%,3.40%,5.52%
35,New Hampshire,2.91%,2.29%,3.69%,3.32%,2.48%,4.42%,8.15%,6.38%,10.37%,2.09%,1.50%,2.91%,2.87%,2.23%,3.70%
36,New Jersey,2.66%,2.15%,3.30%,2.51%,1.89%,3.34%,7.79%,6.23%,9.69%,1.94%,1.43%,2.64%,2.68%,2.13%,3.36%
37,New Mexico,2.95%,2.30%,3.77%,4.28%,3.21%,5.68%,7.43%,5.79%,9.50%,2.07%,1.42%,3.01%,2.81%,2.13%,3.69%
38,New York,3.01%,2.57%,3.51%,2.91%,2.35%,3.61%,7.75%,6.62%,9.06%,2.28%,1.83%,2.84%,3.01%,2.56%,3.55%
39,North Carolina,2.87%,2.33%,3.54%,3.12%,2.40%,4.04%,7.60%,6.17%,9.32%,2.11%,1.56%,2.83%,2.85%,2.28%,3.55%
40,North Dakota,3.00%,2.35%,3.82%,3.02%,2.21%,4.10%,7.09%,5.47%,9.14%,2.20%,1.56%,3.10%,2.99%,2.31%,3.87%
41,Ohio,3.45%,2.93%,4.06%,3.49%,2.78%,4.39%,8.23%,6.95%,9.72%,2.71%,2.15%,3.41%,3.45%,2.90%,4.10%
42,Oklahoma,2.84%,2.21%,3.65%,3.18%,2.34%,4.30%,6.77%,5.19%,8.77%,2.15%,1.51%,3.03%,2.81%,2.15%,3.66%
43,Oregon,3.60%,2.84%,4.56%,4.40%,3.36%,5.73%,8.69%,6.81%,11.04%,2.79%,2.02%,3.84%,3.53%,2.73%,4.54%
44,Pennsylvania,2.92%,2.46%,3.45%,2.88%,2.30%,3.61%,7.76%,6.50%,9.24%,2.20%,1.73%,2.80%,2.92%,2.44%,3.49%
45,Rhode Island,3.04%,2.40%,3.83%,3.40%,2.47%,4.67%,8.32%,6.50%,10.59%,2.09%,1.49%,2.92%,3.00%,2.35%,3.84%
46,South Carolina,2.35%,1.79%,3.06%,2.96%,2.17%,4.03%,6.19%,4.66%,8.19%,1.71%,1.17%,2.48%,2.29%,1.71%,3.04%
47,South Dakota,2.38%,1.82%,3.11%,3.16%,2.31%,4.30%,6.33%,4.76%,8.36%,1.63%,1.10%,2.43%,2.30%,1.71%,3.08%
48,Tennessee,2.81%,2.20%,3.58%,3.06%,2.30%,4.06%,6.53%,5.02%,8.46%,2.21%,1.60%,3.05%,2.78%,2.15%,3.60%
49,Texas,2.21%,1.88%,2.60%,2.52%,1.99%,3.20%,5.54%,4.61%,6.66%,1.58%,1.24%,2.02%,2.17%,1.82%,2.59%
50,Utah,2.89%,2.29%,3.64%,2.70%,1.98%,3.66%,6.75%,5.22%,8.68%,2.06%,1.47%,2.88%,2.91%,2.27%,3.73%
51,Vermont,4.00%,3.19%,5.00%,4.57%,3.44%,6.04%,9.95%,7.80%,12.61%,2.93%,2.13%,4.01%,3.95%,3.12%,5.00%
52,Virginia,2.98%,2.43%,3.65%,3.14%,2.38%,4.14%,8.30%,6.70%,10.24%,2.13%,1.59%,2.85%,2.96%,2.38%,3.68%
53,Washington,3.14%,2.44%,4.03%,3.39%,2.52%,4.55%,8.06%,6.36%,10.15%,2.40%,1.70%,3.38%,3.12%,2.39%,4.06%
54,West Virginia,2.75%,2.16%,3.49%,3.35%,2.51%,4.45%,7.61%,6.00%,9.60%,2.00%,1.43%,2.80%,2.69%,2.08%,3.48%
55,Wisconsin,2.57%,1.99%,3.32%,2.91%,2.14%,3.95%,6.83%,5.25%,8.83%,1.86%,1.29%,2.65%,2.54%,1.93%,3.33%
56,Wyoming,2.27%,1.77%,2.91%,3.22%,2.34%,4.42%,6.54%,5.01%,8.49%,1.51%,1.05%,2.17%,2.17%,1.66%,2.84%
