"Table 3. Marijuana Use in the Past Month, by Age Group and State: Percentages, Annual Averages Based on 2018 and 2019 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2018 and 2019.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
16,Georgia,9.20%,8.07%,10.47%,6.04%,4.87%,7.47%,19.56%,17.01%,22.39%,7.91%,6.65%,9.39%,9.55%,8.33%,10.93%
17,Hawaii,10.12%,8.59%,11.89%,6.29%,4.79%,8.22%,18.77%,15.63%,22.38%,9.38%,7.70%,11.39%,10.47%,8.84%,12.35%
18,Idaho,8.57%,7.20%,10.17%,5.90%,4.54%,7.63%,18.21%,15.17%,21.71%,7.36%,5.86%,9.21%,8.89%,7.42%,10.62%
19,Illinois,10.38%,9.36%,11.49%,7.01%,5.84%,8.40%,21.74%,19.36%,24.32%,9.00%,7.85%,10.29%,10.72%,9.62%,11.92%
20,Indiana,11.56%,9.97%,13.36%,7.52%,5.96%,9.46%,25.63%,22.02%,29.61%,9.66%,7.93%,11.71%,11.98%,10.29%,13.91%
21,Iowa,6.70%,5.54%,8.07%,5.71%,4.39%,7.39%,16.16%,13.20%,19.63%,5.18%,3.99%,6.69%,6.80%,5.57%,8.28%
22,Kansas,7.48%,6.15%,9.06%,5.00%,3.77%,6.59%,15.39%,12.58%,18.70%,6.42%,4.98%,8.23%,7.75%,6.33%,9.45%
23,Kentucky,9.75%,8.33%,11.38%,6.18%,4.80%,7.93%,18.96%,16.01%,22.32%,8.71%,7.13%,10.59%,10.11%,8.59%,11.85%
24,Louisiana,7.74%,6.51%,9.18%,4.99%,3.80%,6.53%,18.47%,15.47%,21.89%,6.39%,5.08%,8.01%,8.03%,6.72%,9.56%
25,Maine,17.58%,15.49%,19.89%,10.93%,8.75%,13.58%,35.12%,31.06%,39.40%,15.97%,13.58%,18.69%,18.13%,15.90%,20.59%
26,Maryland,10.99%,9.43%,12.77%,7.07%,5.57%,8.93%,26.37%,22.69%,30.42%,9.16%,7.49%,11.17%,11.37%,9.71%,13.29%
27,Massachusetts,14.91%,13.07%,16.96%,9.72%,7.81%,12.02%,31.01%,26.92%,35.43%,12.73%,10.73%,15.04%,15.36%,13.40%,17.55%
28,Michigan,13.80%,12.66%,15.03%,7.42%,6.18%,8.88%,29.30%,26.74%,32.01%,12.02%,10.70%,13.48%,14.42%,13.20%,15.74%
29,Minnesota,9.96%,8.50%,11.64%,6.53%,5.08%,8.37%,22.47%,19.05%,26.29%,8.44%,6.88%,10.31%,10.31%,8.77%,12.10%
30,Mississippi,7.88%,6.62%,9.37%,5.68%,4.37%,7.36%,16.99%,14.25%,20.13%,6.65%,5.28%,8.33%,8.12%,6.78%,9.71%
31,Missouri,8.99%,7.66%,10.53%,5.88%,4.58%,7.51%,20.73%,17.60%,24.26%,7.52%,6.09%,9.24%,9.30%,7.89%,10.94%
32,Montana,14.92%,13.07%,16.98%,9.77%,7.85%,12.10%,29.85%,26.11%,33.88%,13.18%,11.08%,15.59%,15.40%,13.43%,17.60%
33,Nebraska,8.43%,7.14%,9.93%,6.75%,5.24%,8.66%,21.24%,18.03%,24.85%,6.43%,5.04%,8.16%,8.62%,7.25%,10.22%
34,Nevada,16.10%,14.05%,18.38%,9.67%,7.67%,12.11%,31.49%,27.55%,35.71%,14.69%,12.39%,17.34%,16.74%,14.55%,19.19%
35,New Hampshire,14.05%,12.17%,16.18%,8.18%,6.58%,10.13%,30.16%,26.02%,34.65%,12.25%,10.18%,14.66%,14.56%,12.56%,16.83%
36,New Jersey,8.99%,7.84%,10.29%,6.69%,5.33%,8.37%,22.50%,19.46%,25.86%,7.30%,6.05%,8.79%,9.22%,7.99%,10.61%
37,New Mexico,12.43%,10.68%,14.42%,9.83%,7.85%,12.25%,23.48%,19.99%,27.38%,10.99%,9.01%,13.33%,12.70%,10.83%,14.83%
38,New York,11.02%,10.10%,12.03%,7.20%,6.13%,8.44%,24.45%,22.24%,26.81%,9.35%,8.28%,10.54%,11.36%,10.37%,12.44%
39,North Carolina,9.16%,8.06%,10.39%,6.87%,5.53%,8.50%,19.41%,16.92%,22.16%,7.83%,6.62%,9.25%,9.39%,8.22%,10.70%
40,North Dakota,7.67%,6.44%,9.12%,4.76%,3.59%,6.29%,17.10%,14.19%,20.46%,6.19%,4.91%,7.79%,7.95%,6.64%,9.50%
41,Ohio,10.22%,9.26%,11.27%,6.45%,5.36%,7.74%,22.02%,19.72%,24.50%,8.82%,7.75%,10.03%,10.60%,9.56%,11.73%
42,Oklahoma,10.07%,8.53%,11.86%,5.84%,4.50%,7.54%,19.22%,16.12%,22.75%,9.09%,7.36%,11.17%,10.54%,8.87%,12.47%
43,Oregon,18.69%,16.66%,20.90%,10.74%,8.71%,13.18%,32.64%,28.70%,36.83%,17.49%,15.18%,20.06%,19.40%,17.23%,21.76%
44,Pennsylvania,9.83%,8.84%,10.92%,6.11%,5.09%,7.32%,19.80%,17.55%,22.27%,8.73%,7.61%,10.00%,10.17%,9.11%,11.34%
45,Rhode Island,15.37%,13.34%,17.65%,8.30%,6.58%,10.42%,31.00%,27.01%,35.30%,13.40%,11.16%,16.01%,15.98%,13.82%,18.40%
46,South Carolina,9.17%,7.69%,10.89%,6.56%,5.12%,8.37%,18.34%,15.28%,21.87%,8.09%,6.47%,10.08%,9.42%,7.85%,11.26%
47,South Dakota,6.35%,5.20%,7.75%,5.10%,3.89%,6.65%,14.74%,12.02%,17.94%,5.13%,3.92%,6.68%,6.49%,5.26%,7.97%
48,Tennessee,8.75%,7.36%,10.38%,5.70%,4.33%,7.49%,18.22%,15.15%,21.75%,7.65%,6.16%,9.47%,9.05%,7.58%,10.78%
49,Texas,7.19%,6.49%,7.96%,5.94%,4.98%,7.06%,15.51%,13.69%,17.53%,5.92%,5.14%,6.81%,7.34%,6.59%,8.17%
50,Utah,6.42%,5.33%,7.71%,4.58%,3.45%,6.07%,14.50%,11.81%,17.69%,4.96%,3.85%,6.38%,6.68%,5.51%,8.08%
51,Vermont,19.74%,17.55%,22.13%,12.84%,10.45%,15.70%,38.99%,34.58%,43.59%,17.11%,14.64%,19.90%,20.30%,17.99%,22.83%
52,Virginia,7.89%,6.86%,9.06%,5.41%,4.26%,6.85%,20.26%,17.46%,23.37%,6.25%,5.16%,7.54%,8.13%,7.03%,9.39%
53,Washington,17.75%,15.62%,20.09%,9.92%,7.94%,12.33%,31.80%,27.90%,35.97%,16.54%,14.11%,19.29%,18.49%,16.21%,21.00%
54,West Virginia,9.48%,8.03%,11.15%,7.05%,5.55%,8.92%,20.88%,17.65%,24.53%,8.12%,6.55%,10.01%,9.69%,8.17%,11.47%
55,Wisconsin,9.05%,7.67%,10.65%,6.58%,5.17%,8.34%,20.67%,17.47%,24.28%,7.48%,5.99%,9.30%,9.29%,7.82%,11.00%
56,Wyoming,7.38%,6.15%,8.82%,5.88%,4.57%,7.55%,17.73%,14.73%,21.18%,5.98%,4.68%,7.61%,7.53%,6.22%,9.08%
