Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
16,Georgia,21.19%,19.50%,22.99%,3.99%,3.14%,5.06%,27.49%,24.51%,30.67%,22.37%,20.30%,24.59%,23.09%,21.22%,25.08%
17,Hawaii,23.17%,20.97%,25.52%,3.41%,2.51%,4.63%,32.35%,28.48%,36.47%,23.98%,21.41%,26.75%,24.95%,22.55%,27.51%
18,Idaho,22.20%,20.04%,24.53%,4.79%,3.69%,6.20%,30.80%,27.13%,34.73%,23.22%,20.60%,26.06%,24.28%,21.87%,26.88%
19,Illinois,26.88%,25.26%,28.57%,4.34%,3.54%,5.30%,34.55%,31.60%,37.62%,28.33%,26.36%,30.40%,29.17%,27.39%,31.02%
20,Indiana,25.54%,23.36%,27.85%,4.93%,3.86%,6.27%,34.56%,30.78%,38.54%,26.57%,23.95%,29.38%,27.73%,25.33%,30.27%
21,Iowa,27.92%,25.52%,30.46%,5.73%,4.45%,7.36%,39.99%,35.78%,44.35%,28.51%,25.62%,31.59%,30.21%,27.56%,32.99%
22,Kansas,26.44%,24.00%,29.04%,5.86%,4.55%,7.52%,37.93%,33.79%,42.25%,27.10%,24.17%,30.25%,28.71%,26.01%,31.58%
23,Kentucky,21.59%,19.59%,23.72%,5.22%,4.06%,6.69%,31.89%,28.28%,35.74%,21.86%,19.49%,24.43%,23.23%,21.05%,25.57%
24,Louisiana,25.91%,23.61%,28.35%,4.89%,3.75%,6.36%,32.72%,29.02%,36.65%,27.37%,24.60%,30.33%,28.10%,25.56%,30.79%
25,Maine,22.03%,19.82%,24.42%,5.31%,4.11%,6.85%,36.37%,32.60%,40.32%,21.76%,19.22%,24.54%,23.41%,21.02%,25.98%
26,Maryland,25.64%,23.34%,28.08%,4.21%,3.26%,5.41%,36.62%,32.59%,40.84%,26.43%,23.68%,29.37%,27.74%,25.21%,30.41%
27,Massachusetts,28.44%,26.13%,30.88%,4.98%,3.82%,6.47%,43.47%,39.24%,47.80%,28.31%,25.57%,31.22%,30.49%,27.97%,33.13%
28,Michigan,26.34%,24.81%,27.93%,4.67%,3.84%,5.67%,39.31%,36.48%,42.21%,26.70%,24.85%,28.63%,28.45%,26.78%,30.19%
29,Minnesota,26.93%,24.58%,29.42%,5.07%,3.93%,6.52%,41.11%,36.78%,45.58%,27.34%,24.56%,30.32%,29.18%,26.59%,31.90%
30,Mississippi,20.49%,18.34%,22.82%,4.55%,3.46%,5.96%,25.81%,22.55%,29.36%,21.64%,19.05%,24.48%,22.23%,19.86%,24.80%
31,Missouri,24.06%,21.82%,26.46%,5.02%,3.90%,6.44%,34.22%,30.48%,38.17%,24.68%,22.02%,27.55%,25.97%,23.51%,28.59%
32,Montana,27.43%,25.10%,29.89%,5.99%,4.70%,7.60%,41.88%,37.87%,45.99%,27.50%,24.72%,30.47%,29.42%,26.88%,32.10%
33,Nebraska,29.19%,26.66%,31.87%,5.20%,4.03%,6.70%,41.20%,37.29%,45.22%,30.22%,27.10%,33.53%,31.84%,29.02%,34.80%
34,Nevada,24.84%,22.48%,27.37%,4.46%,3.40%,5.83%,32.45%,28.60%,36.56%,26.09%,23.30%,29.09%,26.87%,24.28%,29.63%
35,New Hampshire,27.92%,25.48%,30.50%,5.73%,4.47%,7.32%,45.35%,41.00%,49.78%,27.55%,24.69%,30.59%,29.85%,27.20%,32.64%
36,New Jersey,25.33%,23.34%,27.43%,5.26%,4.22%,6.54%,40.63%,36.96%,44.41%,25.39%,23.04%,27.89%,27.31%,25.13%,29.60%
37,New Mexico,21.18%,18.97%,23.56%,4.18%,3.16%,5.51%,29.49%,25.75%,33.52%,21.92%,19.30%,24.79%,22.96%,20.53%,25.58%
38,New York,23.25%,21.91%,24.65%,4.91%,4.12%,5.85%,37.50%,34.98%,40.09%,22.93%,21.31%,24.64%,24.88%,23.41%,26.40%
39,North Carolina,23.85%,22.01%,25.79%,5.23%,4.13%,6.62%,34.64%,31.51%,37.90%,24.32%,22.12%,26.67%,25.71%,23.69%,27.84%
40,North Dakota,30.56%,28.08%,33.16%,5.44%,4.26%,6.91%,46.91%,42.60%,51.27%,30.29%,27.30%,33.46%,32.98%,30.27%,35.81%
41,Ohio,24.76%,23.25%,26.34%,5.24%,4.35%,6.30%,36.90%,34.24%,39.64%,25.12%,23.30%,27.04%,26.71%,25.05%,28.43%
42,Oklahoma,21.39%,19.31%,23.64%,4.97%,3.82%,6.44%,32.14%,28.26%,36.30%,21.69%,19.20%,24.41%,23.19%,20.88%,25.67%
43,Oregon,24.34%,22.09%,26.74%,5.56%,4.30%,7.14%,35.44%,31.34%,39.76%,24.66%,22.07%,27.45%,26.02%,23.58%,28.62%
44,Pennsylvania,25.20%,23.62%,26.84%,4.80%,3.96%,5.81%,36.96%,34.15%,39.87%,25.58%,23.70%,27.56%,27.06%,25.34%,28.85%
45,Rhode Island,27.26%,24.89%,29.76%,4.80%,3.71%,6.20%,42.59%,38.22%,47.08%,26.90%,24.14%,29.86%,29.20%,26.63%,31.91%
46,South Carolina,26.33%,24.02%,28.77%,4.32%,3.32%,5.60%,32.67%,28.59%,37.04%,27.82%,25.10%,30.72%,28.45%,25.92%,31.12%
47,South Dakota,26.40%,24.04%,28.90%,5.47%,4.27%,6.97%,41.53%,37.51%,45.66%,26.51%,23.66%,29.56%,28.63%,26.04%,31.38%
48,Tennessee,20.96%,18.86%,23.22%,5.07%,3.89%,6.59%,29.71%,26.25%,33.43%,21.43%,18.94%,24.14%,22.53%,20.23%,25.00%
49,Texas,24.14%,22.89%,25.43%,4.58%,3.82%,5.49%,31.00%,28.68%,33.43%,25.67%,24.11%,27.29%,26.45%,25.07%,27.89%
50,Utah,16.23%,14.47%,18.16%,4.06%,2.91%,5.64%,23.46%,20.03%,27.28%,16.74%,14.57%,19.16%,17.94%,15.96%,20.12%
51,Vermont,26.06%,23.70%,28.57%,7.51%,5.88%,9.56%,45.24%,40.95%,49.60%,24.56%,21.80%,27.54%,27.57%,25.03%,30.27%
52,Virginia,22.79%,21.03%,24.66%,4.64%,3.70%,5.80%,36.08%,32.83%,39.46%,22.77%,20.67%,25.03%,24.57%,22.64%,26.61%
53,Washington,21.58%,19.34%,24.00%,4.88%,3.74%,6.35%,29.87%,26.17%,33.86%,22.17%,19.52%,25.06%,23.15%,20.71%,25.79%
54,West Virginia,18.90%,16.84%,21.15%,5.29%,4.02%,6.93%,30.81%,27.19%,34.69%,18.59%,16.20%,21.24%,20.10%,17.88%,22.52%
55,Wisconsin,29.82%,27.31%,32.46%,5.57%,4.38%,7.07%,43.23%,39.35%,47.19%,30.46%,27.45%,33.64%,32.21%,29.45%,35.09%
56,Wyoming,24.82%,22.56%,27.23%,5.22%,4.06%,6.68%,38.16%,34.25%,42.23%,25.13%,22.44%,28.03%,26.85%,24.36%,29.49%
