"Table 1. Illicit Drug Use in the Past Month, by Age Group and State: Percentages, Annual Averages Based on 2018 and 2019 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: Illicit Drug Use includes the misuse of prescription psychotherapeutics or the use of marijuana, cocaine (including crack), heroin, hallucinogens, inhalants, or methamphetamine. Misuse of prescription psychotherapeutics is defined as use in any way not directed by a doctor, including use without a prescription of one's own; use in greater amounts, more often, or longer than told; or use in any other way not directed by a doctor. Prescription psychotherapeutics do not include over-the-counter drugs.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2018 and 2019.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
11,Colorado,19.24%,17.18%,21.48%,11.55%,9.32%,14.24%,35.68%,31.72%,39.83%,17.56%,15.15%,20.26%,20.00%,17.77%,22.43%
12,Connecticut,14.17%,12.35%,16.21%,8.81%,7.03%,10.99%,28.94%,25.03%,33.20%,12.42%,10.35%,14.84%,14.69%,12.74%,16.88%
13,Delaware,14.32%,12.52%,16.34%,9.94%,8.11%,12.12%,29.73%,26.06%,33.69%,12.62%,10.60%,14.95%,14.73%,12.79%,16.90%
14,District of Columbia,19.06%,16.86%,21.47%,10.56%,8.56%,12.96%,33.35%,29.00%,38.00%,17.06%,14.59%,19.84%,19.54%,17.23%,22.07%
15,Florida,11.45%,10.52%,12.46%,7.90%,6.79%,9.17%,23.20%,21.13%,25.40%,10.24%,9.15%,11.44%,11.75%,10.75%,12.84%
16,Georgia,10.29%,9.09%,11.64%,6.80%,5.54%,8.31%,20.97%,18.11%,24.15%,9.00%,7.65%,10.55%,10.68%,9.38%,12.13%
17,Hawaii,11.81%,10.16%,13.69%,7.09%,5.59%,8.96%,20.89%,17.55%,24.67%,11.11%,9.24%,13.29%,12.24%,10.47%,14.25%
18,Idaho,10.15%,8.74%,11.77%,7.50%,5.97%,9.39%,20.04%,16.90%,23.59%,8.90%,7.32%,10.79%,10.47%,8.93%,12.24%
19,Illinois,12.04%,10.98%,13.18%,8.28%,6.98%,9.80%,23.57%,21.03%,26.30%,10.68%,9.46%,12.03%,12.42%,11.28%,13.65%
20,Indiana,12.53%,10.97%,14.28%,8.60%,6.99%,10.54%,26.93%,23.31%,30.89%,10.57%,8.82%,12.61%,12.95%,11.27%,14.84%
21,Iowa,9.17%,7.79%,10.78%,7.83%,6.25%,9.76%,18.95%,15.72%,22.66%,7.64%,6.14%,9.48%,9.31%,7.82%,11.06%
22,Kansas,10.05%,8.57%,11.75%,6.84%,5.41%,8.60%,18.83%,15.63%,22.52%,8.93%,7.26%,10.94%,10.40%,8.81%,12.25%
23,Kentucky,11.43%,9.91%,13.15%,6.99%,5.48%,8.88%,19.66%,16.45%,23.31%,10.64%,8.92%,12.66%,11.87%,10.23%,13.73%
24,Louisiana,9.41%,8.03%,11.00%,6.33%,4.94%,8.08%,21.03%,17.80%,24.67%,7.96%,6.44%,9.81%,9.73%,8.24%,11.46%
25,Maine,18.88%,16.73%,21.24%,12.28%,9.98%,15.01%,36.54%,32.31%,41.00%,17.25%,14.81%,19.99%,19.42%,17.13%,21.94%
26,Maryland,12.73%,11.09%,14.57%,8.26%,6.60%,10.30%,28.03%,24.08%,32.35%,10.98%,9.18%,13.07%,13.17%,11.41%,15.15%
27,Massachusetts,16.94%,15.08%,18.98%,11.03%,9.02%,13.43%,33.58%,29.35%,38.10%,14.74%,12.66%,17.10%,17.46%,15.47%,19.64%
28,Michigan,15.45%,14.27%,16.71%,8.87%,7.54%,10.41%,31.86%,29.08%,34.78%,13.54%,12.15%,15.07%,16.09%,14.81%,17.47%
29,Minnesota,11.34%,9.80%,13.09%,8.18%,6.49%,10.26%,24.24%,20.54%,28.37%,9.73%,8.06%,11.70%,11.67%,10.01%,13.55%
30,Mississippi,9.17%,7.83%,10.72%,6.66%,5.27%,8.38%,19.17%,16.17%,22.58%,7.83%,6.32%,9.66%,9.45%,7.99%,11.14%
31,Missouri,10.61%,9.12%,12.33%,7.52%,6.00%,9.38%,22.72%,19.39%,26.44%,9.08%,7.42%,11.07%,10.92%,9.31%,12.78%
32,Montana,16.32%,14.35%,18.51%,11.58%,9.46%,14.09%,31.39%,27.33%,35.76%,14.51%,12.28%,17.08%,16.77%,14.65%,19.12%
33,Nebraska,9.41%,8.01%,11.03%,8.04%,6.41%,10.05%,22.80%,19.38%,26.63%,7.27%,5.73%,9.17%,9.56%,8.05%,11.33%
34,Nevada,17.59%,15.46%,19.94%,10.55%,8.49%,13.04%,33.06%,28.91%,37.48%,16.24%,13.80%,19.01%,18.29%,15.98%,20.85%
35,New Hampshire,15.68%,13.69%,17.88%,10.10%,8.23%,12.34%,32.53%,28.09%,37.30%,13.73%,11.54%,16.25%,16.16%,14.04%,18.53%
36,New Jersey,10.17%,8.99%,11.48%,7.75%,6.35%,9.43%,24.30%,21.07%,27.86%,8.40%,7.07%,9.96%,10.41%,9.13%,11.83%
37,New Mexico,13.89%,11.99%,16.02%,11.56%,9.34%,14.23%,25.27%,21.52%,29.42%,12.36%,10.22%,14.88%,14.13%,12.09%,16.45%
38,New York,12.45%,11.44%,13.52%,8.31%,7.17%,9.63%,26.22%,23.81%,28.78%,10.74%,9.58%,12.03%,12.81%,11.74%,13.97%
39,North Carolina,10.63%,9.43%,11.95%,8.18%,6.74%,9.90%,21.63%,18.95%,24.58%,9.20%,7.83%,10.78%,10.87%,9.58%,12.31%
40,North Dakota,9.09%,7.72%,10.67%,6.25%,4.78%,8.14%,18.08%,14.90%,21.77%,7.69%,6.20%,9.50%,9.36%,7.91%,11.05%
41,Ohio,11.67%,10.64%,12.78%,8.01%,6.86%,9.34%,23.31%,21.00%,25.80%,10.28%,9.08%,11.62%,12.03%,10.92%,13.24%
42,Oklahoma,12.11%,10.47%,13.97%,7.67%,6.07%,9.66%,20.90%,17.60%,24.64%,11.21%,9.32%,13.43%,12.60%,10.81%,14.62%
43,Oregon,19.84%,17.79%,22.06%,11.48%,9.47%,13.84%,33.73%,29.64%,38.08%,18.69%,16.33%,21.29%,20.58%,18.38%,22.97%
44,Pennsylvania,11.00%,9.92%,12.19%,7.24%,6.11%,8.57%,20.80%,18.50%,23.29%,9.93%,8.69%,11.32%,11.34%,10.18%,12.62%
45,Rhode Island,17.35%,15.36%,19.54%,10.06%,8.19%,12.29%,32.70%,28.52%,37.18%,15.46%,13.20%,18.02%,17.98%,15.85%,20.32%
46,South Carolina,10.49%,8.90%,12.32%,8.25%,6.60%,10.26%,20.19%,16.80%,24.06%,9.29%,7.52%,11.43%,10.70%,9.00%,12.69%
47,South Dakota,7.52%,6.29%,8.97%,6.83%,5.32%,8.72%,15.90%,12.92%,19.41%,6.23%,4.89%,7.90%,7.60%,6.27%,9.17%
48,Tennessee,10.15%,8.68%,11.83%,6.87%,5.38%,8.74%,19.61%,16.40%,23.28%,9.07%,7.44%,11.02%,10.47%,8.90%,12.28%
49,Texas,8.75%,7.97%,9.59%,7.12%,6.07%,8.35%,17.65%,15.68%,19.80%,7.43%,6.54%,8.43%,8.94%,8.10%,9.86%
50,Utah,8.14%,6.90%,9.59%,6.03%,4.66%,7.76%,16.58%,13.60%,20.07%,6.66%,5.29%,8.35%,8.44%,7.09%,10.03%
51,Vermont,21.13%,18.88%,23.57%,14.14%,11.73%,16.95%,39.70%,35.22%,44.37%,18.62%,16.05%,21.50%,21.70%,19.30%,24.30%
52,Virginia,9.24%,8.17%,10.45%,6.99%,5.66%,8.61%,22.50%,19.53%,25.77%,7.43%,6.26%,8.81%,9.46%,8.31%,10.76%
53,Washington,19.46%,17.39%,21.71%,11.19%,9.06%,13.73%,32.99%,29.04%,37.21%,18.37%,15.96%,21.06%,20.24%,18.02%,22.65%
54,West Virginia,10.66%,9.17%,12.37%,8.63%,6.99%,10.62%,21.96%,18.66%,25.65%,9.27%,7.61%,11.25%,10.84%,9.25%,12.67%
55,Wisconsin,10.90%,9.39%,12.63%,8.33%,6.80%,10.17%,22.48%,19.15%,26.20%,9.36%,7.66%,11.38%,11.16%,9.52%,13.03%
56,Wyoming,8.68%,7.33%,10.26%,8.03%,6.32%,10.16%,18.99%,15.85%,22.60%,7.19%,5.71%,9.02%,8.75%,7.31%,10.45%
