"Table 11. Methamphetamine Use in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2018 and 2019 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2018 and 2019.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
41,Ohio,0.84%,0.58%,1.22%,0.26%,0.15%,0.45%,0.97%,0.65%,1.44%,0.89%,0.59%,1.36%,0.90%,0.62%,1.31%
42,Oklahoma,1.19%,0.75%,1.89%,0.20%,0.10%,0.38%,1.53%,0.97%,2.41%,1.26%,0.74%,2.15%,1.30%,0.82%,2.07%
43,Oregon,1.26%,0.78%,2.05%,0.25%,0.13%,0.46%,1.38%,0.85%,2.23%,1.35%,0.78%,2.31%,1.35%,0.83%,2.21%
44,Pennsylvania,0.71%,0.48%,1.05%,0.22%,0.13%,0.37%,0.95%,0.63%,1.42%,0.72%,0.46%,1.14%,0.75%,0.50%,1.13%
45,Rhode Island,0.48%,0.24%,0.95%,0.17%,0.09%,0.33%,0.62%,0.33%,1.17%,0.49%,0.22%,1.10%,0.51%,0.25%,1.03%
46,South Carolina,0.57%,0.30%,1.06%,0.17%,0.08%,0.33%,0.77%,0.44%,1.33%,0.58%,0.28%,1.20%,0.61%,0.32%,1.15%
47,South Dakota,0.66%,0.38%,1.14%,0.25%,0.12%,0.52%,1.17%,0.70%,1.94%,0.63%,0.32%,1.24%,0.70%,0.40%,1.24%
48,Tennessee,1.02%,0.61%,1.68%,0.26%,0.15%,0.47%,1.07%,0.64%,1.76%,1.09%,0.62%,1.93%,1.09%,0.65%,1.82%
49,Texas,0.51%,0.34%,0.76%,0.11%,0.06%,0.23%,0.71%,0.45%,1.11%,0.53%,0.33%,0.85%,0.55%,0.36%,0.84%
50,Utah,0.87%,0.52%,1.44%,0.26%,0.13%,0.50%,1.25%,0.74%,2.09%,0.89%,0.48%,1.65%,0.96%,0.56%,1.61%
51,Vermont,0.68%,0.39%,1.19%,0.28%,0.14%,0.55%,1.05%,0.62%,1.77%,0.66%,0.33%,1.31%,0.72%,0.40%,1.27%
52,Virginia,0.40%,0.22%,0.72%,0.14%,0.08%,0.28%,0.58%,0.33%,1.01%,0.40%,0.20%,0.80%,0.42%,0.23%,0.78%
53,Washington,0.74%,0.41%,1.34%,0.16%,0.09%,0.31%,0.85%,0.49%,1.47%,0.78%,0.40%,1.54%,0.79%,0.43%,1.45%
54,West Virginia,1.37%,0.89%,2.11%,0.38%,0.20%,0.72%,1.84%,1.17%,2.89%,1.41%,0.86%,2.31%,1.46%,0.94%,2.26%
55,Wisconsin,0.82%,0.47%,1.45%,0.25%,0.14%,0.47%,1.11%,0.67%,1.82%,0.84%,0.43%,1.64%,0.88%,0.49%,1.57%
56,Wyoming,0.62%,0.36%,1.07%,0.31%,0.13%,0.71%,1.24%,0.73%,2.12%,0.57%,0.28%,1.14%,0.66%,0.37%,1.16%
