"Table 33. Attempted Suicide in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2018 and 2019 NSDUHs  ",,,,,,,,,,
NOTE: Respondents were asked whether they attempted suicide in the past 12 months only if they had serious thoughts of suicide in the past 12 months. Respondents who had no suicide thoughts were categorized as not attempting suicide in the past 12 months.,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2018 and 2019.",,,,,,,,,,
Order,State,"18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)"
15,Florida,0.49%,0.38%,0.63%,2.03%,1.56%,2.64%,0.29%,0.19%,0.43%
16,Georgia,0.57%,0.43%,0.75%,2.14%,1.55%,2.95%,0.31%,0.20%,0.50%
17,Hawaii,0.43%,0.29%,0.62%,2.43%,1.60%,3.68%,0.17%,0.08%,0.35%
18,Idaho,0.74%,0.50%,1.08%,1.72%,1.18%,2.50%,0.58%,0.33%,1.01%
19,Illinois,0.34%,0.25%,0.48%,1.41%,1.02%,1.96%,0.18%,0.10%,0.31%
20,Indiana,0.72%,0.53%,0.99%,1.93%,1.34%,2.78%,0.52%,0.33%,0.81%
21,Iowa,0.67%,0.48%,0.94%,1.97%,1.37%,2.83%,0.45%,0.26%,0.76%
22,Kansas,0.69%,0.50%,0.94%,2.07%,1.44%,2.97%,0.45%,0.28%,0.73%
23,Kentucky,0.66%,0.47%,0.90%,2.01%,1.40%,2.88%,0.44%,0.27%,0.72%
24,Louisiana,0.66%,0.49%,0.88%,2.36%,1.67%,3.31%,0.39%,0.24%,0.63%
25,Maine,0.63%,0.43%,0.91%,2.28%,1.58%,3.28%,0.42%,0.23%,0.75%
26,Maryland,0.47%,0.33%,0.66%,1.66%,1.14%,2.42%,0.29%,0.17%,0.50%
27,Massachusetts,0.36%,0.25%,0.52%,1.56%,1.05%,2.33%,0.16%,0.09%,0.31%
28,Michigan,0.64%,0.49%,0.85%,1.93%,1.44%,2.57%,0.44%,0.28%,0.67%
29,Minnesota,0.46%,0.33%,0.63%,1.96%,1.36%,2.82%,0.23%,0.13%,0.40%
30,Mississippi,0.63%,0.45%,0.86%,2.10%,1.47%,2.99%,0.38%,0.22%,0.65%
31,Missouri,0.73%,0.52%,1.03%,2.02%,1.39%,2.91%,0.53%,0.33%,0.87%
32,Montana,0.56%,0.40%,0.79%,2.20%,1.54%,3.13%,0.31%,0.17%,0.58%
33,Nebraska,0.69%,0.50%,0.95%,1.89%,1.32%,2.68%,0.48%,0.29%,0.79%
34,Nevada,0.65%,0.47%,0.90%,2.77%,1.95%,3.93%,0.36%,0.20%,0.64%
35,New Hampshire,0.64%,0.43%,0.95%,2.15%,1.46%,3.14%,0.42%,0.22%,0.78%
36,New Jersey,0.48%,0.33%,0.70%,1.49%,1.03%,2.15%,0.34%,0.20%,0.58%
37,New Mexico,0.60%,0.44%,0.82%,2.33%,1.59%,3.40%,0.33%,0.20%,0.54%
38,New York,0.60%,0.45%,0.81%,1.50%,1.11%,2.03%,0.47%,0.31%,0.70%
39,North Carolina,0.51%,0.37%,0.68%,1.81%,1.31%,2.50%,0.30%,0.19%,0.49%
40,North Dakota,0.78%,0.56%,1.10%,2.01%,1.41%,2.86%,0.55%,0.32%,0.93%
41,Ohio,0.70%,0.53%,0.91%,1.97%,1.47%,2.62%,0.50%,0.34%,0.73%
42,Oklahoma,0.66%,0.48%,0.91%,2.11%,1.48%,3.00%,0.42%,0.26%,0.69%
43,Oregon,0.60%,0.44%,0.82%,2.52%,1.75%,3.63%,0.32%,0.19%,0.55%
44,Pennsylvania,0.76%,0.57%,1.01%,2.32%,1.74%,3.08%,0.53%,0.34%,0.81%
45,Rhode Island,0.46%,0.33%,0.64%,2.06%,1.42%,2.97%,0.18%,0.10%,0.33%
46,South Carolina,0.56%,0.39%,0.80%,1.87%,1.26%,2.77%,0.37%,0.21%,0.64%
47,South Dakota,0.76%,0.53%,1.08%,2.36%,1.60%,3.47%,0.50%,0.28%,0.86%
48,Tennessee,0.71%,0.51%,0.98%,2.36%,1.64%,3.38%,0.45%,0.27%,0.76%
49,Texas,0.54%,0.40%,0.73%,1.55%,1.15%,2.07%,0.37%,0.24%,0.57%
50,Utah,0.92%,0.66%,1.29%,2.64%,1.82%,3.82%,0.54%,0.30%,0.96%
51,Vermont,0.42%,0.30%,0.60%,1.76%,1.21%,2.54%,0.20%,0.10%,0.38%
52,Virginia,0.53%,0.39%,0.71%,1.79%,1.27%,2.50%,0.33%,0.20%,0.54%
53,Washington,0.42%,0.30%,0.59%,2.06%,1.43%,2.97%,0.19%,0.10%,0.34%
54,West Virginia,0.79%,0.56%,1.11%,2.43%,1.70%,3.47%,0.56%,0.33%,0.94%
55,Wisconsin,0.75%,0.52%,1.08%,1.80%,1.25%,2.59%,0.58%,0.35%,0.98%
56,Wyoming,0.61%,0.43%,0.85%,2.08%,1.45%,2.97%,0.39%,0.22%,0.67%
