Order,State,"18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)"
26,Maryland,4.34%,3.55%,5.29%,12.70%,10.35%,15.49%,3.11%,2.38%,4.06%
27,Massachusetts,4.77%,3.91%,5.81%,12.00%,9.75%,14.68%,3.56%,2.75%,4.60%
28,Michigan,4.61%,4.00%,5.31%,11.44%,9.90%,13.19%,3.51%,2.90%,4.24%
29,Minnesota,4.74%,3.89%,5.75%,13.13%,10.65%,16.08%,3.45%,2.68%,4.43%
30,Mississippi,5.31%,4.40%,6.40%,12.43%,10.32%,14.90%,4.13%,3.23%,5.28%
31,Missouri,5.05%,4.24%,6.01%,13.27%,11.05%,15.85%,3.77%,2.98%,4.76%
32,Montana,4.63%,3.78%,5.67%,11.80%,9.70%,14.28%,3.53%,2.71%,4.59%
33,Nebraska,4.88%,4.02%,5.91%,12.27%,10.13%,14.81%,3.60%,2.78%,4.65%
34,Nevada,4.94%,4.01%,6.08%,12.10%,9.86%,14.75%,3.96%,3.05%,5.13%
35,New Hampshire,4.68%,3.82%,5.73%,12.89%,10.52%,15.71%,3.47%,2.66%,4.51%
36,New Jersey,3.79%,3.13%,4.58%,10.58%,8.75%,12.73%,2.82%,2.19%,3.61%
37,New Mexico,4.81%,3.92%,5.89%,11.43%,9.21%,14.09%,3.76%,2.92%,4.84%
38,New York,4.21%,3.68%,4.82%,10.14%,8.80%,11.66%,3.30%,2.77%,3.94%
39,North Carolina,3.87%,3.23%,4.62%,9.58%,7.97%,11.48%,2.99%,2.37%,3.76%
40,North Dakota,5.28%,4.41%,6.30%,13.29%,11.00%,15.96%,3.73%,2.93%,4.74%
41,Ohio,6.09%,5.35%,6.92%,14.76%,12.97%,16.76%,4.75%,3.99%,5.64%
42,Oklahoma,4.58%,3.77%,5.55%,11.21%,9.17%,13.63%,3.48%,2.69%,4.48%
43,Oregon,5.65%,4.69%,6.80%,14.13%,11.63%,17.06%,4.44%,3.50%,5.62%
44,Pennsylvania,4.83%,4.17%,5.58%,12.50%,10.81%,14.41%,3.69%,3.05%,4.46%
45,Rhode Island,4.59%,3.75%,5.60%,11.71%,9.51%,14.33%,3.37%,2.58%,4.39%
46,South Carolina,4.89%,3.96%,6.03%,11.29%,9.14%,13.88%,3.95%,3.03%,5.13%
47,South Dakota,4.62%,3.82%,5.57%,12.95%,10.67%,15.65%,3.25%,2.51%,4.19%
48,Tennessee,4.68%,3.83%,5.70%,11.51%,9.42%,14.00%,3.64%,2.82%,4.68%
49,Texas,3.86%,3.37%,4.42%,9.01%,7.78%,10.41%,2.97%,2.48%,3.55%
50,Utah,6.19%,5.18%,7.38%,13.03%,10.79%,15.66%,4.67%,3.70%,5.89%
51,Vermont,5.66%,4.65%,6.87%,12.79%,10.45%,15.57%,4.44%,3.46%,5.69%
52,Virginia,4.22%,3.53%,5.04%,11.33%,9.45%,13.53%,3.12%,2.46%,3.94%
53,Washington,4.92%,4.03%,5.99%,11.91%,9.84%,14.35%,3.90%,3.04%,5.00%
54,West Virginia,5.44%,4.50%,6.57%,13.85%,11.54%,16.53%,4.27%,3.34%,5.44%
55,Wisconsin,4.66%,3.80%,5.70%,11.59%,9.48%,14.08%,3.56%,2.73%,4.64%
56,Wyoming,5.74%,4.73%,6.95%,14.76%,12.22%,17.73%,4.37%,3.41%,5.59%
