Order,State,"18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)"
30,Mississippi,5.23%,4.35%,6.27%,6.89%,5.47%,8.64%,4.95%,4.01%,6.09%
31,Missouri,5.56%,4.68%,6.58%,9.09%,7.37%,11.17%,5.00%,4.09%,6.11%
32,Montana,5.19%,4.34%,6.20%,8.83%,7.09%,10.93%,4.63%,3.74%,5.72%
33,Nebraska,4.92%,4.10%,5.91%,8.86%,7.16%,10.92%,4.24%,3.39%,5.28%
34,Nevada,5.63%,4.65%,6.80%,8.73%,6.99%,10.86%,5.20%,4.18%,6.46%
35,New Hampshire,4.85%,4.02%,5.85%,9.14%,7.20%,11.55%,4.22%,3.39%,5.23%
36,New Jersey,4.08%,3.40%,4.88%,7.39%,5.98%,9.11%,3.60%,2.91%,4.45%
37,New Mexico,5.31%,4.38%,6.42%,8.36%,6.62%,10.52%,4.82%,3.85%,6.02%
38,New York,4.35%,3.81%,4.97%,7.41%,6.31%,8.68%,3.88%,3.30%,4.56%
39,North Carolina,4.75%,4.01%,5.61%,7.01%,5.68%,8.62%,4.39%,3.61%,5.33%
40,North Dakota,5.04%,4.22%,6.02%,8.84%,7.08%,10.98%,4.31%,3.47%,5.33%
41,Ohio,6.29%,5.52%,7.15%,10.27%,8.83%,11.92%,5.67%,4.86%,6.61%
42,Oklahoma,5.43%,4.53%,6.51%,8.52%,6.82%,10.58%,4.92%,3.97%,6.07%
43,Oregon,5.72%,4.79%,6.81%,9.87%,7.96%,12.19%,5.12%,4.17%,6.28%
44,Pennsylvania,4.94%,4.32%,5.65%,8.64%,7.37%,10.11%,4.39%,3.73%,5.17%
45,Rhode Island,5.05%,4.21%,6.05%,8.64%,6.88%,10.81%,4.43%,3.57%,5.49%
46,South Carolina,4.89%,4.05%,5.88%,7.25%,5.71%,9.17%,4.53%,3.66%,5.60%
47,South Dakota,5.34%,4.44%,6.40%,9.47%,7.63%,11.69%,4.65%,3.74%,5.77%
48,Tennessee,5.42%,4.53%,6.46%,8.97%,7.20%,11.12%,4.87%,3.96%,5.99%
49,Texas,4.32%,3.81%,4.90%,7.04%,6.05%,8.17%,3.85%,3.30%,4.49%
50,Utah,6.31%,5.35%,7.44%,9.49%,7.66%,11.71%,5.60%,4.60%,6.82%
51,Vermont,5.83%,4.90%,6.91%,10.19%,8.24%,12.53%,5.08%,4.14%,6.22%
52,Virginia,4.53%,3.84%,5.35%,7.60%,6.23%,9.26%,4.05%,3.33%,4.93%
53,Washington,5.53%,4.59%,6.64%,9.09%,7.32%,11.22%,5.01%,4.04%,6.20%
54,West Virginia,5.84%,4.90%,6.96%,9.44%,7.64%,11.60%,5.34%,4.35%,6.54%
55,Wisconsin,5.26%,4.31%,6.41%,8.89%,7.09%,11.09%,4.68%,3.70%,5.91%
56,Wyoming,5.51%,4.61%,6.56%,10.99%,8.88%,13.53%,4.67%,3.77%,5.77%
