Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
44,Pennsylvania,2.54%,2.13%,3.02%,2.66%,2.11%,3.36%,6.86%,5.65%,8.31%,1.88%,1.47%,2.40%,2.53%,2.10%,3.04%
45,Rhode Island,2.88%,2.27%,3.66%,3.36%,2.45%,4.58%,7.64%,5.79%,10.00%,2.02%,1.43%,2.85%,2.84%,2.20%,3.67%
46,South Carolina,2.10%,1.64%,2.70%,2.85%,2.13%,3.81%,5.71%,4.21%,7.71%,1.49%,1.05%,2.11%,2.03%,1.54%,2.67%
47,South Dakota,2.19%,1.72%,2.79%,2.91%,2.15%,3.93%,6.03%,4.54%,7.98%,1.47%,1.03%,2.09%,2.12%,1.62%,2.76%
48,Tennessee,2.34%,1.82%,3.00%,2.68%,2.00%,3.59%,5.46%,4.03%,7.37%,1.82%,1.30%,2.54%,2.30%,1.75%,3.02%
49,Texas,2.07%,1.76%,2.45%,2.43%,1.88%,3.13%,5.49%,4.52%,6.67%,1.43%,1.11%,1.82%,2.03%,1.70%,2.43%
50,Utah,2.65%,2.11%,3.33%,2.66%,1.97%,3.58%,6.46%,4.89%,8.49%,1.81%,1.30%,2.51%,2.65%,2.06%,3.40%
51,Vermont,3.31%,2.64%,4.15%,3.93%,2.92%,5.27%,8.49%,6.46%,11.09%,2.37%,1.73%,3.24%,3.26%,2.56%,4.15%
52,Virginia,2.55%,2.09%,3.11%,3.02%,2.32%,3.93%,7.87%,6.31%,9.78%,1.67%,1.22%,2.28%,2.50%,2.02%,3.10%
53,Washington,2.97%,2.34%,3.76%,3.18%,2.34%,4.29%,7.48%,5.70%,9.74%,2.29%,1.66%,3.15%,2.95%,2.28%,3.80%
54,West Virginia,2.22%,1.75%,2.81%,2.82%,2.09%,3.81%,6.58%,5.07%,8.52%,1.55%,1.09%,2.19%,2.17%,1.67%,2.80%
55,Wisconsin,2.35%,1.85%,2.99%,2.78%,2.07%,3.74%,6.03%,4.56%,7.94%,1.72%,1.22%,2.42%,2.31%,1.78%,3.00%
56,Wyoming,2.04%,1.60%,2.59%,3.11%,2.24%,4.30%,5.93%,4.44%,7.88%,1.32%,0.92%,1.90%,1.93%,1.47%,2.52%
