Order,State,12 or Older Estimate,12 or Older 95% CI (Lower),12 or Older 95% CI (Upper),12-17 Estimate,12-17 95% CI (Lower),12-17 95% CI (Upper),18-25 Estimate,18-25 95% CI (Lower),18-25 95% CI (Upper),26 or Older Estimate,26 or Older 95% CI (Lower),26 or Older 95% CI (Upper),18 or Older Estimate,18 or Older 95% CI (Lower),18 or Older 95% CI (Upper)
21,Iowa,3.55%,2.82%,4.45%,2.62%,1.91%,3.56%,6.35%,4.83%,8.31%,3.17%,2.37%,4.23%,3.64%,2.87%,4.62%
22,Kansas,4.11%,3.25%,5.18%,2.30%,1.66%,3.18%,6.74%,5.02%,8.99%,3.88%,2.90%,5.17%,4.31%,3.37%,5.49%
23,Kentucky,3.11%,2.46%,3.93%,1.96%,1.41%,2.73%,4.58%,3.36%,6.21%,3.01%,2.27%,4.00%,3.23%,2.52%,4.12%
24,Louisiana,3.26%,2.53%,4.18%,2.44%,1.76%,3.38%,5.84%,4.36%,7.77%,2.95%,2.14%,4.06%,3.34%,2.56%,4.35%
25,Maine,3.21%,2.54%,4.05%,2.32%,1.69%,3.17%,6.77%,5.16%,8.82%,2.84%,2.11%,3.82%,3.28%,2.57%,4.19%
26,Maryland,3.31%,2.61%,4.18%,2.09%,1.51%,2.87%,5.73%,4.28%,7.61%,3.09%,2.31%,4.11%,3.43%,2.68%,4.37%
27,Massachusetts,3.73%,2.97%,4.68%,2.12%,1.54%,2.93%,7.19%,5.44%,9.45%,3.32%,2.47%,4.43%,3.87%,3.06%,4.90%
28,Michigan,3.64%,3.08%,4.31%,2.33%,1.78%,3.04%,7.46%,6.19%,8.95%,3.18%,2.54%,3.97%,3.77%,3.16%,4.49%
29,Minnesota,3.19%,2.51%,4.03%,2.38%,1.73%,3.27%,6.39%,4.83%,8.42%,2.79%,2.06%,3.76%,3.27%,2.55%,4.19%
30,Mississippi,2.99%,2.37%,3.78%,2.16%,1.59%,2.93%,5.07%,3.82%,6.69%,2.76%,2.04%,3.72%,3.09%,2.41%,3.95%
31,Missouri,2.96%,2.31%,3.78%,2.46%,1.80%,3.36%,5.49%,4.12%,7.29%,2.62%,1.90%,3.60%,3.01%,2.31%,3.91%
32,Montana,3.72%,2.97%,4.66%,3.02%,2.19%,4.15%,8.36%,6.40%,10.86%,3.09%,2.29%,4.15%,3.79%,2.99%,4.79%
33,Nebraska,2.66%,2.10%,3.37%,2.32%,1.67%,3.22%,5.98%,4.60%,7.74%,2.13%,1.52%,2.99%,2.70%,2.10%,3.48%
34,Nevada,3.70%,2.88%,4.73%,2.50%,1.81%,3.46%,6.11%,4.58%,8.12%,3.50%,2.58%,4.72%,3.81%,2.94%,4.94%
35,New Hampshire,3.29%,2.59%,4.16%,2.34%,1.70%,3.22%,8.09%,6.20%,10.49%,2.67%,1.94%,3.67%,3.37%,2.63%,4.31%
36,New Jersey,2.50%,1.98%,3.17%,1.77%,1.27%,2.46%,5.32%,4.03%,6.98%,2.18%,1.60%,2.96%,2.58%,2.01%,3.30%
37,New Mexico,2.89%,2.23%,3.75%,2.92%,2.13%,4.01%,5.19%,3.86%,6.96%,2.52%,1.79%,3.54%,2.89%,2.18%,3.82%
38,New York,3.24%,2.75%,3.81%,2.24%,1.76%,2.84%,6.19%,5.11%,7.48%,2.89%,2.33%,3.56%,3.33%,2.81%,3.94%
39,North Carolina,3.10%,2.55%,3.78%,2.54%,1.89%,3.40%,6.38%,5.10%,7.96%,2.66%,2.04%,3.46%,3.16%,2.56%,3.89%
40,North Dakota,3.11%,2.43%,3.96%,2.02%,1.42%,2.86%,5.38%,4.00%,7.20%,2.79%,2.04%,3.81%,3.21%,2.49%,4.14%
41,Ohio,3.14%,2.65%,3.72%,2.14%,1.67%,2.75%,5.48%,4.49%,6.68%,2.89%,2.33%,3.59%,3.24%,2.71%,3.88%
42,Oklahoma,3.36%,2.62%,4.29%,2.41%,1.75%,3.31%,6.15%,4.64%,8.11%,3.01%,2.20%,4.11%,3.46%,2.67%,4.48%
43,Oregon,4.32%,3.46%,5.38%,2.76%,2.01%,3.78%,8.52%,6.53%,11.04%,3.88%,2.93%,5.11%,4.46%,3.54%,5.60%
44,Pennsylvania,2.85%,2.38%,3.42%,2.10%,1.62%,2.72%,5.74%,4.65%,7.07%,2.50%,1.97%,3.16%,2.92%,2.41%,3.53%
45,Rhode Island,3.89%,3.09%,4.88%,2.12%,1.54%,2.93%,7.00%,5.36%,9.08%,3.53%,2.64%,4.70%,4.04%,3.18%,5.11%
46,South Carolina,3.26%,2.56%,4.15%,2.75%,1.98%,3.81%,5.79%,4.36%,7.66%,2.94%,2.17%,3.98%,3.31%,2.56%,4.27%
47,South Dakota,2.45%,1.88%,3.18%,2.25%,1.58%,3.19%,5.13%,3.82%,6.84%,2.03%,1.41%,2.91%,2.47%,1.86%,3.27%
48,Tennessee,3.08%,2.42%,3.92%,2.23%,1.60%,3.12%,5.11%,3.79%,6.86%,2.87%,2.13%,3.85%,3.17%,2.45%,4.08%
49,Texas,2.93%,2.51%,3.41%,2.40%,1.90%,3.04%,5.48%,4.53%,6.60%,2.56%,2.09%,3.13%,2.99%,2.54%,3.52%
50,Utah,3.02%,2.43%,3.74%,2.55%,1.84%,3.52%,5.72%,4.33%,7.53%,2.50%,1.85%,3.37%,3.09%,2.44%,3.89%
51,Vermont,3.95%,3.14%,4.96%,2.64%,1.93%,3.61%,8.56%,6.55%,11.12%,3.29%,2.43%,4.43%,4.06%,3.20%,5.13%
52,Virginia,2.83%,2.30%,3.47%,2.17%,1.62%,2.90%,6.15%,4.84%,7.77%,2.39%,1.81%,3.15%,2.90%,2.33%,3.60%
53,Washington,3.68%,2.87%,4.70%,2.35%,1.69%,3.26%,5.72%,4.28%,7.60%,3.52%,2.61%,4.73%,3.80%,2.94%,4.91%
54,West Virginia,2.71%,2.13%,3.43%,2.28%,1.67%,3.12%,5.28%,3.94%,7.03%,2.39%,1.76%,3.22%,2.74%,2.13%,3.52%
55,Wisconsin,3.71%,2.95%,4.65%,2.57%,1.87%,3.53%,6.28%,4.81%,8.16%,3.43%,2.57%,4.55%,3.82%,3.00%,4.84%
56,Wyoming,2.34%,1.80%,3.05%,2.44%,1.71%,3.46%,5.17%,3.82%,6.97%,1.90%,1.33%,2.72%,2.33%,1.76%,3.10%
