Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
20,Indiana,41.03%,38.64%,43.46%,40.04%,36.96%,43.20%,33.91%,31.29%,36.64%,42.37%,39.61%,45.17%,41.13%,38.65%,43.66%
21,Iowa,35.67%,33.16%,38.26%,34.93%,31.69%,38.32%,31.54%,28.72%,34.51%,36.48%,33.56%,39.50%,35.74%,33.13%,38.44%
22,Kansas,41.21%,38.72%,43.75%,40.32%,37.26%,43.45%,35.09%,32.37%,37.91%,42.40%,39.52%,45.34%,41.31%,38.72%,43.95%
23,Kentucky,43.49%,40.97%,46.05%,42.23%,39.11%,45.42%,36.25%,33.47%,39.13%,44.78%,41.91%,47.70%,43.62%,41.01%,46.27%
24,Louisiana,44.96%,42.48%,47.46%,44.23%,41.12%,47.39%,40.94%,38.11%,43.83%,45.67%,42.84%,48.53%,45.03%,42.45%,47.64%
25,Maine,40.91%,38.29%,43.59%,38.35%,35.24%,41.55%,30.97%,28.36%,33.71%,42.40%,39.45%,45.41%,41.12%,38.41%,43.88%
26,Maryland,45.30%,42.77%,47.87%,44.70%,41.51%,47.93%,39.73%,36.87%,42.65%,46.19%,43.33%,49.07%,45.36%,42.74%,48.01%
27,Massachusetts,42.12%,39.72%,44.56%,40.61%,37.53%,43.76%,34.07%,31.31%,36.95%,43.63%,40.89%,46.41%,42.25%,39.78%,44.76%
28,Michigan,41.33%,39.64%,43.04%,41.05%,38.83%,43.30%,33.73%,31.71%,35.82%,42.59%,40.63%,44.57%,41.35%,39.59%,43.14%
29,Minnesota,37.91%,35.49%,40.40%,38.56%,35.38%,41.84%,31.50%,28.73%,34.41%,38.82%,36.07%,41.65%,37.85%,35.34%,40.42%
30,Mississippi,48.58%,46.07%,51.09%,46.90%,43.68%,50.14%,44.32%,41.43%,47.25%,49.50%,46.62%,52.38%,48.76%,46.14%,51.39%
31,Missouri,39.86%,37.39%,42.38%,39.95%,36.92%,43.06%,33.84%,31.14%,36.65%,40.78%,37.97%,43.66%,39.85%,37.28%,42.46%
32,Montana,38.04%,35.60%,40.54%,36.22%,33.01%,39.57%,33.16%,30.39%,36.06%,38.98%,36.17%,41.86%,38.20%,35.67%,40.81%
33,Nebraska,38.05%,35.63%,40.54%,37.49%,34.45%,40.63%,31.95%,29.18%,34.85%,39.19%,36.39%,42.07%,38.12%,35.58%,40.72%
34,Nevada,44.67%,42.04%,47.33%,41.75%,38.53%,45.05%,41.14%,38.29%,44.05%,45.48%,42.51%,48.49%,44.96%,42.23%,47.71%
35,New Hampshire,37.22%,34.72%,39.80%,36.11%,33.16%,39.18%,29.49%,26.78%,32.34%,38.48%,35.63%,41.42%,37.32%,34.72%,39.99%
36,New Jersey,47.92%,45.84%,50.00%,45.64%,42.80%,48.51%,38.49%,35.92%,41.12%,49.53%,47.16%,51.91%,48.14%,45.99%,50.30%
37,New Mexico,49.81%,47.17%,52.46%,44.56%,41.35%,47.81%,44.44%,41.28%,47.64%,51.30%,48.29%,54.30%,50.36%,47.60%,53.12%
38,New York,46.52%,44.93%,48.12%,44.27%,42.23%,46.32%,37.05%,35.12%,39.02%,48.21%,46.34%,50.09%,46.72%,45.05%,48.40%
39,North Carolina,46.39%,44.45%,48.34%,45.40%,42.59%,48.24%,39.12%,36.73%,41.57%,47.63%,45.39%,49.88%,46.48%,44.46%,48.52%
40,North Dakota,39.33%,36.92%,41.78%,39.43%,36.30%,42.66%,32.32%,29.68%,35.08%,40.67%,37.92%,43.49%,39.31%,36.85%,41.83%
41,Ohio,41.24%,39.56%,42.94%,40.17%,37.95%,42.43%,33.78%,31.79%,35.83%,42.52%,40.56%,44.50%,41.34%,39.58%,43.13%
42,Oklahoma,42.98%,40.43%,45.58%,40.66%,37.44%,43.96%,36.61%,33.80%,39.51%,44.35%,41.40%,47.33%,43.24%,40.58%,45.93%
43,Oregon,39.43%,37.02%,41.89%,36.15%,33.06%,39.36%,33.03%,30.09%,36.11%,40.68%,37.93%,43.49%,39.72%,37.21%,42.28%
44,Pennsylvania,41.51%,39.86%,43.19%,39.90%,37.74%,42.11%,34.12%,32.15%,36.15%,42.78%,40.86%,44.73%,41.66%,39.92%,43.42%
45,Rhode Island,43.63%,41.11%,46.18%,42.62%,39.37%,45.93%,35.08%,32.30%,37.97%,45.20%,42.37%,48.06%,43.71%,41.15%,46.31%
46,South Carolina,43.13%,40.62%,45.68%,42.76%,39.66%,45.92%,37.14%,34.37%,40.00%,44.06%,41.20%,46.95%,43.16%,40.56%,45.80%
47,South Dakota,39.12%,36.78%,41.52%,39.18%,36.01%,42.45%,32.72%,30.07%,35.49%,40.17%,37.51%,42.90%,39.11%,36.70%,41.58%
48,Tennessee,43.89%,41.47%,46.34%,42.92%,39.84%,46.05%,35.61%,32.86%,38.47%,45.27%,42.52%,48.05%,43.99%,41.48%,46.53%
49,Texas,49.34%,47.95%,50.74%,46.49%,44.32%,48.68%,41.92%,39.89%,43.99%,51.04%,49.37%,52.70%,49.68%,48.21%,51.15%
50,Utah,46.09%,43.63%,48.58%,45.05%,41.58%,48.57%,38.79%,35.66%,42.02%,47.90%,45.06%,50.75%,46.24%,43.68%,48.82%
51,Vermont,37.74%,35.31%,40.23%,36.25%,33.20%,39.41%,29.96%,27.28%,32.78%,39.21%,36.44%,42.05%,37.86%,35.35%,40.43%
52,Virginia,45.62%,43.50%,47.75%,44.86%,42.04%,47.72%,38.04%,35.57%,40.58%,46.88%,44.47%,49.31%,45.69%,43.49%,47.90%
53,Washington,40.82%,38.38%,43.32%,40.11%,37.09%,43.21%,35.58%,32.87%,38.38%,41.66%,38.90%,44.49%,40.89%,38.36%,43.46%
54,West Virginia,42.41%,39.95%,44.90%,39.84%,36.60%,43.17%,32.81%,30.19%,35.54%,44.01%,41.24%,46.82%,42.63%,40.09%,45.21%
55,Wisconsin,37.74%,35.40%,40.15%,36.68%,33.70%,39.76%,31.52%,28.88%,34.29%,38.86%,36.16%,41.62%,37.85%,35.40%,40.36%
56,Wyoming,38.85%,36.39%,41.37%,37.95%,34.82%,41.18%,33.07%,30.36%,35.91%,39.84%,37.02%,42.73%,38.95%,36.39%,41.56%
