Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
20,Indiana,71.26%,68.95%,73.46%,52.52%,49.52%,55.50%,62.09%,58.50%,65.55%,75.13%,72.50%,77.59%,73.23%,70.75%,75.57%
21,Iowa,68.87%,66.53%,71.11%,50.11%,46.86%,53.36%,58.19%,54.48%,61.81%,72.97%,70.24%,75.54%,70.78%,68.25%,73.19%
22,Kansas,69.57%,67.03%,71.99%,52.45%,49.26%,55.62%,62.40%,58.62%,66.03%,73.02%,70.08%,75.76%,71.43%,68.70%,74.02%
23,Kentucky,75.68%,73.62%,77.63%,56.49%,53.29%,59.63%,67.20%,63.88%,70.34%,79.23%,76.88%,81.40%,77.59%,75.38%,79.65%
24,Louisiana,77.22%,75.08%,79.23%,56.25%,53.00%,59.45%,70.51%,67.17%,73.63%,80.78%,78.30%,83.03%,79.38%,77.06%,81.52%
25,Maine,68.04%,65.56%,70.43%,54.07%,50.86%,57.24%,57.67%,54.01%,61.25%,70.64%,67.85%,73.29%,69.18%,66.53%,71.70%
26,Maryland,71.58%,69.27%,73.78%,53.66%,50.30%,56.99%,63.36%,59.86%,66.72%,74.78%,72.15%,77.23%,73.31%,70.83%,75.64%
27,Massachusetts,64.41%,61.88%,66.87%,52.31%,49.08%,55.51%,54.37%,50.67%,58.01%,67.32%,64.38%,70.13%,65.45%,62.74%,68.06%
28,Michigan,70.31%,68.78%,71.80%,52.22%,49.81%,54.61%,61.03%,58.68%,63.32%,73.84%,72.02%,75.57%,72.05%,70.40%,73.64%
29,Minnesota,64.59%,62.01%,67.08%,50.69%,47.27%,54.10%,54.80%,50.73%,58.81%,67.72%,64.79%,70.51%,65.99%,63.22%,68.66%
30,Mississippi,79.21%,77.26%,81.03%,56.15%,52.94%,59.32%,72.75%,69.65%,75.64%,83.20%,80.95%,85.23%,81.70%,79.60%,83.63%
31,Missouri,72.26%,69.95%,74.46%,57.97%,54.47%,61.39%,63.73%,60.30%,67.02%,75.22%,72.54%,77.73%,73.67%,71.17%,76.02%
32,Montana,66.16%,63.58%,68.64%,50.97%,47.90%,54.04%,55.03%,51.30%,58.70%,69.47%,66.49%,72.30%,67.54%,64.78%,70.19%
33,Nebraska,70.11%,67.67%,72.44%,51.57%,48.42%,54.72%,60.42%,57.01%,63.72%,74.17%,71.34%,76.80%,72.13%,69.50%,74.61%
34,Nevada,68.07%,65.47%,70.56%,51.66%,48.27%,55.03%,61.49%,57.87%,64.99%,70.82%,67.87%,73.61%,69.68%,66.90%,72.32%
35,New Hampshire,64.54%,61.78%,67.20%,50.39%,47.03%,53.76%,51.12%,47.18%,55.05%,67.92%,64.77%,70.92%,65.74%,62.81%,68.57%
36,New Jersey,73.48%,71.46%,75.40%,56.54%,53.56%,59.47%,65.25%,61.84%,68.51%,76.55%,74.25%,78.71%,75.12%,72.95%,77.18%
37,New Mexico,68.37%,65.71%,70.92%,51.49%,48.12%,54.84%,63.73%,60.01%,67.29%,71.13%,68.02%,74.06%,70.12%,67.23%,72.85%
38,New York,67.41%,65.80%,68.98%,54.50%,52.34%,56.63%,59.04%,56.73%,61.31%,69.99%,68.10%,71.82%,68.53%,66.80%,70.21%
39,North Carolina,72.46%,70.61%,74.23%,54.43%,51.66%,57.18%,63.46%,60.65%,66.19%,75.92%,73.79%,77.92%,74.24%,72.26%,76.12%
40,North Dakota,70.03%,67.64%,72.31%,51.88%,48.33%,55.42%,58.87%,55.17%,62.48%,74.25%,71.46%,76.86%,71.76%,69.20%,74.18%
41,Ohio,71.44%,69.89%,72.95%,54.15%,51.85%,56.43%,62.85%,60.49%,65.14%,74.75%,72.94%,76.47%,73.14%,71.48%,74.75%
42,Oklahoma,72.56%,70.15%,74.84%,53.18%,49.80%,56.54%,66.57%,63.01%,69.94%,76.01%,73.19%,78.62%,74.65%,72.04%,77.10%
43,Oregon,62.07%,59.51%,64.55%,51.52%,48.26%,54.77%,55.20%,51.68%,58.68%,64.11%,61.16%,66.96%,62.99%,60.26%,65.63%
44,Pennsylvania,68.99%,67.35%,70.58%,53.68%,51.46%,55.89%,59.94%,57.44%,62.39%,71.92%,70.05%,73.73%,70.36%,68.60%,72.07%
45,Rhode Island,66.52%,63.86%,69.08%,53.76%,50.33%,57.16%,57.31%,53.56%,60.98%,69.37%,66.37%,72.22%,67.60%,64.77%,70.31%
46,South Carolina,76.08%,73.80%,78.22%,55.80%,52.71%,58.86%,67.32%,63.91%,70.55%,79.60%,77.02%,81.96%,78.01%,75.57%,80.27%
47,South Dakota,70.03%,67.62%,72.34%,52.95%,49.92%,55.96%,60.81%,57.31%,64.20%,73.66%,70.83%,76.30%,71.83%,69.21%,74.31%
48,Tennessee,75.73%,73.56%,77.78%,55.92%,52.59%,59.20%,66.80%,63.34%,70.09%,79.33%,76.91%,81.56%,77.67%,75.36%,79.82%
49,Texas,75.42%,74.21%,76.59%,55.67%,53.47%,57.86%,69.01%,66.93%,71.02%,79.26%,77.81%,80.64%,77.74%,76.42%,79.00%
50,Utah,70.96%,68.77%,73.05%,55.60%,52.26%,58.89%,63.71%,60.21%,67.08%,75.17%,72.59%,77.59%,73.10%,70.72%,75.35%
51,Vermont,65.64%,62.93%,68.24%,54.59%,51.33%,57.80%,54.81%,51.09%,58.48%,68.51%,65.41%,71.46%,66.51%,63.64%,69.27%
52,Virginia,71.02%,69.08%,72.89%,54.97%,52.22%,57.69%,62.43%,59.48%,65.30%,74.15%,71.93%,76.25%,72.57%,70.50%,74.54%
53,Washington,62.31%,59.70%,64.84%,51.33%,48.13%,54.51%,54.56%,50.79%,58.28%,64.60%,61.60%,67.48%,63.32%,60.53%,66.02%
54,West Virginia,75.92%,73.78%,77.93%,55.91%,52.74%,59.03%,66.23%,62.81%,69.49%,79.27%,76.87%,81.48%,77.66%,75.38%,79.78%
55,Wisconsin,67.66%,65.11%,70.11%,51.16%,48.03%,54.27%,59.67%,56.12%,63.12%,70.80%,67.87%,73.56%,69.27%,66.54%,71.87%
56,Wyoming,67.61%,65.07%,70.05%,51.91%,48.69%,55.10%,56.87%,53.24%,60.43%,71.09%,68.17%,73.85%,69.21%,66.48%,71.82%
