Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
18,Idaho,19.69%,17.69%,21.84%,3.88%,2.82%,5.31%,23.65%,20.30%,27.37%,21.24%,18.84%,23.85%,21.58%,19.37%,23.96%
19,Illinois,20.15%,18.74%,21.63%,3.46%,2.73%,4.37%,21.78%,19.50%,24.25%,21.85%,20.16%,23.65%,21.85%,20.31%,23.46%
20,Indiana,28.18%,25.83%,30.67%,4.94%,3.71%,6.55%,33.10%,29.28%,37.17%,30.24%,27.41%,33.23%,30.66%,28.07%,33.37%
21,Iowa,25.16%,22.85%,27.61%,4.95%,3.74%,6.53%,27.16%,23.58%,31.06%,27.26%,24.49%,30.21%,27.24%,24.72%,29.91%
22,Kansas,24.52%,22.12%,27.09%,3.48%,2.55%,4.73%,25.55%,22.09%,29.34%,27.08%,24.14%,30.24%,26.85%,24.19%,29.68%
23,Kentucky,31.19%,28.84%,33.64%,7.14%,5.52%,9.17%,35.11%,31.34%,39.07%,33.37%,30.56%,36.30%,33.61%,31.04%,36.27%
24,Louisiana,28.57%,26.17%,31.09%,5.80%,4.42%,7.56%,30.14%,26.58%,33.96%,31.06%,28.16%,34.13%,30.94%,28.31%,33.70%
25,Maine,20.56%,18.33%,22.98%,5.18%,3.83%,6.96%,27.35%,23.76%,31.26%,21.13%,18.57%,23.93%,21.83%,19.43%,24.43%
26,Maryland,19.69%,17.72%,21.83%,3.46%,2.54%,4.71%,24.30%,20.95%,27.99%,20.83%,18.51%,23.37%,21.28%,19.13%,23.60%
27,Massachusetts,17.97%,16.01%,20.11%,3.92%,2.87%,5.33%,22.20%,18.88%,25.93%,18.68%,16.42%,21.18%,19.19%,17.08%,21.50%
28,Michigan,24.00%,22.47%,25.60%,4.50%,3.61%,5.59%,28.75%,26.34%,31.28%,25.44%,23.59%,27.38%,25.90%,24.23%,27.63%
29,Minnesota,20.96%,18.90%,23.17%,4.48%,3.34%,5.99%,26.41%,22.85%,30.30%,22.07%,19.67%,24.67%,22.65%,20.41%,25.06%
30,Mississippi,30.57%,28.17%,33.08%,7.08%,5.48%,9.12%,32.11%,28.64%,35.80%,33.32%,30.38%,36.39%,33.14%,30.50%,35.90%
31,Missouri,24.19%,22.02%,26.50%,5.09%,3.82%,6.74%,27.52%,23.99%,31.36%,25.88%,23.29%,28.65%,26.10%,23.73%,28.62%
32,Montana,28.32%,25.89%,30.89%,7.59%,5.84%,9.81%,39.79%,35.49%,44.25%,28.78%,25.91%,31.84%,30.25%,27.61%,33.03%
33,Nebraska,22.98%,20.70%,25.42%,4.04%,3.00%,5.41%,28.70%,25.20%,32.47%,24.43%,21.67%,27.43%,25.06%,22.56%,27.75%
34,Nevada,20.94%,18.71%,23.35%,3.47%,2.51%,4.77%,22.84%,19.61%,26.43%,22.65%,20.02%,25.52%,22.68%,20.24%,25.31%
35,New Hampshire,19.95%,17.72%,22.39%,3.97%,2.86%,5.50%,29.79%,25.79%,34.13%,20.08%,17.52%,22.92%,21.34%,18.93%,23.96%
36,New Jersey,16.03%,14.43%,17.78%,2.96%,2.20%,3.96%,21.38%,18.52%,24.54%,16.74%,14.83%,18.84%,17.32%,15.57%,19.23%
37,New Mexico,23.83%,21.47%,26.35%,5.08%,3.59%,7.14%,31.36%,27.20%,35.85%,24.91%,22.09%,27.95%,25.79%,23.21%,28.55%
38,New York,17.94%,16.75%,19.20%,3.18%,2.55%,3.95%,22.68%,20.67%,24.83%,18.72%,17.29%,20.23%,19.25%,17.95%,20.61%
39,North Carolina,24.74%,22.92%,26.66%,4.85%,3.74%,6.25%,28.09%,25.12%,31.26%,26.52%,24.34%,28.83%,26.73%,24.74%,28.82%
40,North Dakota,25.50%,23.33%,27.80%,5.44%,4.06%,7.24%,30.87%,26.93%,35.11%,26.77%,24.20%,29.51%,27.44%,25.08%,29.93%
41,Ohio,27.00%,25.43%,28.63%,5.50%,4.50%,6.69%,33.06%,30.49%,35.73%,28.53%,26.65%,30.49%,29.14%,27.42%,30.92%
42,Oklahoma,29.65%,27.26%,32.16%,5.35%,3.97%,7.16%,35.42%,31.53%,39.52%,31.79%,28.89%,34.83%,32.31%,29.68%,35.05%
43,Oregon,20.71%,18.62%,22.97%,4.49%,3.36%,5.99%,26.43%,22.73%,30.49%,21.55%,19.14%,24.17%,22.16%,19.90%,24.60%
44,Pennsylvania,23.98%,22.43%,25.60%,4.36%,3.51%,5.42%,29.77%,27.20%,32.47%,25.17%,23.35%,27.08%,25.77%,24.09%,27.52%
45,Rhode Island,20.37%,18.27%,22.64%,3.28%,2.41%,4.45%,25.32%,21.86%,29.12%,21.25%,18.80%,23.93%,21.85%,19.58%,24.29%
46,South Carolina,26.67%,24.35%,29.12%,5.72%,4.37%,7.44%,30.62%,26.69%,34.85%,28.40%,25.66%,31.31%,28.69%,26.17%,31.35%
47,South Dakota,24.05%,21.89%,26.35%,5.90%,4.51%,7.69%,29.85%,26.24%,33.73%,25.35%,22.76%,28.13%,25.99%,23.63%,28.49%
48,Tennessee,26.88%,24.56%,29.32%,5.66%,4.32%,7.38%,33.18%,29.39%,37.19%,28.33%,25.60%,31.23%,28.97%,26.45%,31.63%
49,Texas,20.71%,19.52%,21.95%,3.59%,2.87%,4.49%,24.25%,22.27%,26.35%,22.48%,21.00%,24.03%,22.74%,21.42%,24.11%
50,Utah,14.19%,12.46%,16.10%,2.71%,1.82%,4.01%,17.28%,14.32%,20.71%,15.49%,13.34%,17.91%,15.81%,13.87%,17.96%
51,Vermont,22.50%,20.32%,24.85%,6.75%,5.19%,8.75%,31.64%,27.79%,35.75%,22.44%,19.90%,25.20%,23.78%,21.44%,26.29%
52,Virginia,21.59%,19.93%,23.33%,4.51%,3.49%,5.82%,30.55%,27.43%,33.86%,22.12%,20.17%,24.20%,23.25%,21.45%,25.16%
53,Washington,21.00%,18.85%,23.33%,3.75%,2.72%,5.14%,22.05%,18.74%,25.76%,22.70%,20.16%,25.47%,22.62%,20.28%,25.15%
54,West Virginia,33.77%,31.12%,36.53%,8.14%,6.31%,10.45%,40.01%,36.05%,44.10%,35.47%,32.33%,38.74%,36.03%,33.15%,39.01%
55,Wisconsin,22.16%,19.98%,24.51%,3.81%,2.86%,5.05%,25.46%,22.18%,29.04%,23.74%,21.15%,26.53%,23.97%,21.60%,26.52%
56,Wyoming,27.49%,25.04%,30.08%,7.19%,5.50%,9.34%,38.14%,34.16%,42.29%,28.29%,25.38%,31.39%,29.59%,26.92%,32.41%
