Order,State,"12 or Older  Estimate","12 or Older  95% CI (Lower)","12 or Older  95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older  Estimate","26 or Older  95% CI (Lower)","26 or Older  95% CI (Upper)","18 or Older  Estimate","18 or Older  95% CI (Lower)","18 or Older  95% CI (Upper)"
16,Georgia,"4,125","3,931","4,320",63,52,76,518,477,559,"3,544","3,361","3,726","4,062","3,869","4,254"
17,Hawaii,533,502,565,6,4,7,61,56,66,467,437,498,528,496,559
18,Idaho,677,636,718,12,10,15,91,83,98,574,535,612,664,624,705
19,Illinois,"5,907","5,705","6,107",84,71,99,734,693,774,"5,089","4,896","5,278","5,822","5,622","6,020"
20,Indiana,"2,766","2,611","2,920",49,40,60,411,381,441,"2,306","2,161","2,449","2,717","2,563","2,869"
21,Iowa,"1,521","1,443","1,598",28,23,34,226,210,241,"1,267","1,195","1,337","1,493","1,415","1,568"
22,Kansas,"1,250","1,184","1,316",24,20,30,188,174,201,"1,038",975,"1,100","1,226","1,160","1,290"
23,Kentucky,"1,610","1,511","1,710",33,27,40,223,204,241,"1,355","1,262","1,448","1,577","1,480","1,675"
24,Louisiana,"1,835","1,725","1,946",36,29,43,246,226,265,"1,553","1,449","1,657","1,799","1,690","1,908"
25,Maine,650,616,684,9,8,11,73,68,78,568,535,600,641,607,675
26,Maryland,"2,794","2,652","2,934",41,33,50,339,313,365,"2,414","2,278","2,545","2,753","2,611","2,891"
27,Massachusetts,"3,594","3,431","3,752",52,43,62,505,472,537,"3,037","2,885","3,182","3,542","3,380","3,698"
28,Michigan,"4,547","4,394","4,699",69,59,80,658,626,688,"3,821","3,675","3,965","4,479","4,326","4,629"
29,Minnesota,"2,823","2,695","2,948",48,40,59,371,346,395,"2,404","2,283","2,519","2,775","2,648","2,897"
30,Mississippi,950,886,"1,016",19,16,24,132,119,144,799,738,861,931,867,996
31,Missouri,"2,533","2,389","2,676",43,35,52,338,313,363,"2,151","2,015","2,287","2,490","2,347","2,632"
32,Montana,518,492,543,9,7,11,69,64,73,440,416,463,509,484,534
33,Nebraska,878,833,921,16,13,19,129,120,137,733,692,774,862,817,905
34,Nevada,"1,334","1,259","1,410",22,18,26,152,139,165,"1,161","1,089","1,231","1,313","1,238","1,387"
35,New Hampshire,738,703,771,10,8,12,97,90,102,631,598,662,728,693,761
36,New Jersey,"3,976","3,799","4,152",64,53,76,505,472,537,"3,407","3,238","3,574","3,912","3,736","4,086"
37,New Mexico,787,735,839,14,11,17,104,95,114,669,620,718,773,722,825
38,New York,"8,435","8,149","8,720",128,112,147,"1,139","1,081","1,196","7,168","6,896","7,437","8,307","8,022","8,589"
39,North Carolina,"4,303","4,103","4,503",73,61,88,586,550,622,"3,644","3,454","3,833","4,230","4,032","4,427"
40,North Dakota,349,333,366,5,4,6,62,58,66,282,267,297,344,328,360
41,Ohio,"5,042","4,864","5,219",86,74,99,691,658,725,"4,264","4,095","4,432","4,956","4,779","5,132"
42,Oklahoma,"1,438","1,348","1,530",26,21,32,216,199,234,"1,196","1,111","1,281","1,412","1,323","1,502"
43,Oregon,"2,064","1,966","2,160",32,26,38,242,225,260,"1,790","1,697","1,880","2,032","1,935","2,127"
44,Pennsylvania,"5,695","5,484","5,905",84,72,97,726,686,765,"4,885","4,683","5,086","5,611","5,402","5,819"
45,Rhode Island,533,507,559,8,6,9,81,76,86,445,420,468,526,499,551
46,South Carolina,"2,077","1,955","2,198",34,28,41,250,228,272,"1,792","1,678","1,907","2,043","1,922","2,163"
47,South Dakota,391,370,411,6,5,8,55,51,59,329,310,348,384,364,404
48,Tennessee,"2,504","2,345","2,665",47,38,57,354,325,384,"2,102","1,953","2,253","2,457","2,299","2,616"
49,Texas,"11,179","10,833","11,525",226,196,260,"1,583","1,503","1,663","9,370","9,041","9,697","10,953","10,608","11,294"
50,Utah,742,679,805,18,13,25,132,114,151,592,536,651,724,663,787
51,Vermont,332,316,348,6,5,7,50,47,53,277,262,291,327,311,342
52,Virginia,"3,621","3,463","3,779",57,48,68,507,476,538,"3,057","2,908","3,204","3,564","3,407","3,720"
53,Washington,"3,497","3,316","3,677",54,45,66,393,360,425,"3,050","2,877","3,219","3,443","3,262","3,619"
54,West Virginia,594,550,640,12,10,15,84,77,92,498,456,541,582,538,627
55,Wisconsin,"2,948","2,809","3,085",49,41,59,409,384,432,"2,490","2,358","2,618","2,899","2,760","3,033"
56,Wyoming,249,236,263,4,4,5,33,31,36,212,199,224,245,232,258
