"Table 14. Binge Alcohol Use in the Past Month, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2018 and 2019 NSDUHs",,,,,,,,,,,,,,,,
"NOTE: Binge Alcohol Use is defined as drinking five or more drinks (for males) or four or more drinks (for females) on the same occasion (i.e., at the same time or within a couple of hours of each other) on at least 1 day in the past 30 days. ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
NOTE: Estimated numbers appearing as 0 in this table mean that the estimate is greater than 0 but less than 500 (because estimated numbers are shown in thousands).,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2018 and 2019.",,,,,,,,,,,,,,,,
Order,State,"12 or Older  Estimate","12 or Older  95% CI (Lower)","12 or Older  95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older  Estimate","26 or Older  95% CI (Lower)","26 or Older  95% CI (Upper)","18 or Older  Estimate","18 or Older  95% CI (Lower)","18 or Older  95% CI (Upper)"
18,Idaho,324,292,358,7,6,10,57,50,64,260,231,292,316,285,350
19,Illinois,"2,869","2,696","3,049",43,35,52,452,414,492,"2,374","2,208","2,547","2,826","2,653","3,005"
20,Indiana,"1,427","1,305","1,556",26,21,34,255,227,284,"1,146","1,033","1,267","1,401","1,279","1,528"
21,Iowa,735,672,801,14,11,18,141,127,157,579,521,642,721,658,787
22,Kansas,631,572,692,14,11,18,121,108,135,495,442,553,617,559,678
23,Kentucky,803,729,882,18,14,23,147,131,165,638,569,713,785,711,864
24,Louisiana,990,902,"1,083",18,14,23,153,136,172,819,736,908,972,884,"1,065"
25,Maine,257,231,285,5,4,6,44,40,49,208,184,235,252,226,280
26,Maryland,"1,297","1,181","1,421",19,15,24,216,193,241,"1,062",951,"1,180","1,278","1,162","1,402"
27,Massachusetts,"1,692","1,554","1,837",24,18,31,343,310,377,"1,325","1,197","1,461","1,668","1,530","1,812"
28,Michigan,"2,236","2,106","2,371",35,29,43,423,393,455,"1,777","1,654","1,906","2,201","2,071","2,335"
29,Minnesota,"1,267","1,157","1,385",22,17,29,234,209,259,"1,011",908,"1,121","1,245","1,135","1,362"
30,Mississippi,503,450,560,11,8,14,82,71,93,410,361,464,492,439,548
31,Missouri,"1,231","1,116","1,354",23,18,30,215,191,239,993,886,"1,108","1,208","1,093","1,329"
32,Montana,246,225,269,5,4,6,46,42,50,196,176,217,242,221,264
33,Nebraska,462,422,505,8,6,11,87,79,96,367,329,407,454,414,496
34,Nevada,636,576,701,10,8,14,92,81,104,534,477,595,626,566,690
35,New Hampshire,329,301,360,5,4,7,64,57,70,260,233,289,324,295,354
36,New Jersey,"1,906","1,756","2,064",36,28,44,350,318,382,"1,521","1,380","1,670","1,870","1,722","2,028"
37,New Mexico,370,332,412,7,5,9,64,56,73,299,263,338,363,325,404
38,New York,"3,853","3,630","4,086",66,56,79,762,711,814,"3,025","2,811","3,250","3,787","3,564","4,019"
39,North Carolina,"2,081","1,921","2,251",42,33,53,370,336,404,"1,670","1,519","1,831","2,040","1,879","2,209"
40,North Dakota,189,174,205,3,2,4,43,39,47,143,129,158,186,171,202
41,Ohio,"2,433","2,285","2,588",47,39,56,443,411,476,"1,943","1,802","2,092","2,386","2,238","2,540"
42,Oklahoma,692,624,765,16,12,20,134,118,152,542,480,610,676,609,748
43,Oregon,874,793,960,16,13,21,147,130,165,710,636,791,858,777,943
44,Pennsylvania,"2,741","2,570","2,920",44,36,53,478,442,515,"2,219","2,056","2,391","2,697","2,526","2,876"
45,Rhode Island,248,227,271,3,3,4,52,47,58,192,173,213,245,223,267
46,South Carolina,"1,129","1,030","1,234",16,13,21,165,144,187,948,855,"1,047","1,113","1,014","1,217"
47,South Dakota,190,173,208,4,3,5,38,34,42,148,132,165,186,169,204
48,Tennessee,"1,194","1,075","1,323",26,20,34,204,181,230,964,852,"1,086","1,168","1,049","1,296"
49,Texas,"5,665","5,372","5,966",114,95,137,966,894,"1,042","4,585","4,307","4,874","5,551","5,259","5,851"
50,Utah,413,368,461,13,9,18,95,81,111,305,266,349,400,355,448
51,Vermont,142,129,156,3,2,4,33,30,37,106,94,119,139,126,153
52,Virginia,"1,614","1,489","1,746",29,23,37,314,285,343,"1,271","1,154","1,397","1,585","1,460","1,716"
53,Washington,"1,370","1,228","1,524",27,20,35,220,193,250,"1,123",989,"1,269","1,343","1,202","1,497"
54,West Virginia,290,258,324,7,5,9,54,47,60,230,200,262,283,252,318
55,Wisconsin,"1,467","1,343","1,597",25,19,31,266,242,291,"1,176","1,060","1,299","1,442","1,319","1,571"
56,Wyoming,119,108,131,2,2,3,22,20,24,95,85,106,117,106,128
