Order,State,"12 or Older Estimate","12 or Older  95% CI (Lower)","12 or Older  95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older  Estimate","26 or Older  95% CI (Lower)","26 or Older  95% CI (Upper)","18 or Older Estimate","18 or Older  95% CI (Lower)","18 or Older  95% CI (Upper)"
46,South Carolina,"3,263","3,165","3,355",211,199,222,340,323,356,"2,712","2,624","2,793","3,052","2,956","3,140"
47,South Dakota,503,486,520,37,35,39,56,53,59,411,395,425,466,449,482
48,Tennessee,"4,315","4,192","4,433",287,270,304,460,436,482,"3,568","3,459","3,669","4,028","3,908","4,139"
49,Texas,"17,693","17,414","17,972","1,384","1,329","1,438","2,151","2,086","2,214","14,158","13,899","14,404","16,309","16,032","16,574"
50,Utah,"1,802","1,747","1,856",174,163,184,259,244,272,"1,370","1,323","1,414","1,628","1,576","1,679"
51,Vermont,358,343,372,22,21,24,40,38,43,295,282,308,336,321,349
52,Virginia,"5,028","4,892","5,161",346,329,363,543,517,568,"4,139","4,015","4,256","4,682","4,548","4,809"
53,Washington,"3,955","3,791","4,117",280,263,298,403,375,430,"3,272","3,121","3,419","3,675","3,513","3,832"
54,West Virginia,"1,164","1,132","1,196",70,66,74,115,109,121,979,950,"1,007","1,095","1,063","1,125"
55,Wisconsin,"3,328","3,204","3,449",226,213,240,368,346,389,"2,734","2,621","2,841","3,101","2,979","3,218"
56,Wyoming,324,312,336,23,22,25,33,31,35,268,257,278,301,289,312
